id,x,y,deg
001_0,s0.188851472,s0.122246100,s-45.000000000
002_0,s-1.267222476,s-0.414843914,s159.645672948
002_1,s-0.961911622,s-0.958848146,s-18.736872491
003_0,s0.901209997,s0.103000585,s67.599813477
003_1,s0.836226814,s-0.382956115,s112.842034753
003_2,s0.334229151,s-0.017973148,s152.276674282
004_0,s-0.323026833,s-0.543567555,s-81.872317653
004_1,s-0.336224896,s-0.006413573,s-66.740622269
004_2,s0.667078120,s-0.238744673,s84.071414031
004_3,s0.534479471,s-0.762291493,s99.144406053
005_0,s-0.157863463,s-0.232885881,s-0.139766298
005_1,s0.277525900,s0.061107193,s-20.823978488
005_2,s-0.645696308,s0.104102688,s-28.244930653
005_3,s0.038979330,s-0.675119641,s-35.769513249
005_4,s-0.470141624,s-0.492752761,s47.696907445
006_0,s0.248444780,s-1.683601606,s65.072749503
006_1,s-0.205923608,s-0.984313851,s55.275575188
006_2,s0.602847692,s-0.658744511,s68.143031189
006_3,s-0.159608820,s-1.880175575,s112.185143795
006_4,s0.758258779,s-1.824154304,s118.241899998
006_5,s0.600033592,s-1.200812939,s67.512830141
007_0,s0.007447107,s0.588919325,s97.814187398
007_1,s0.150272975,s-0.182446351,s97.814187398
007_2,s-0.619096390,s0.099824954,s-82.185812602
007_3,s-0.288735870,s1.017692026,s-82.155189468
007_4,s0.566065212,s-0.252616381,s-123.605998311
007_5,s0.371338271,s0.238195607,s-82.185812602
007_6,s0.558062590,s0.668881079,s-31.449113416
008_0,s-0.014126481,s-0.025752547,s-0.286980284
008_1,s0.315942817,s0.561310730,s-32.592658339
008_2,s-0.541155549,s0.529760009,s-9.659222692
008_3,s-0.410326273,s-0.711958844,s0.041088459
008_4,s0.380617039,s-0.712623586,s-0.286980284
008_5,s0.782007063,s-0.029740214,s-0.286980284
008_6,s-0.779688409,s-0.036494576,s-50.019458521
008_7,s0.838694953,s-0.674856440,s-29.029580054
009_0,s-0.205532295,s-0.366848113,s-88.698408026
009_1,s-0.223565456,s0.426830924,s-88.698408026
009_2,s0.472613131,s0.045604396,s91.301591974
009_3,s-0.486054346,s0.723385977,s100.376705500
009_4,s0.650795526,s0.717713706,s90.988182893
009_5,s-0.526765897,s0.087966992,s86.842347236
009_6,s-0.640412068,s-0.371442756,s107.902405880
009_7,s-0.351818033,s-0.873342211,s93.072350680
009_8,s0.057576722,s-0.865405692,s-78.984316371
010_0,s-0.027678552,s-0.000388088,s-1.817491899
010_1,s0.383879672,s0.676587950,s-4.478656412
010_2,s-0.403646523,s0.697095409,s-0.897068267
010_3,s0.244525382,s-0.691695359,s-10.597543887
010_4,s-0.450384476,s-0.675065277,s-1.817491899
010_5,s0.765134265,s-0.027168822,s-1.817491899
010_6,s-0.831760941,s0.040939422,s-1.817491899
010_7,s0.761017871,s-0.659586750,s-35.948632529
010_8,s0.914453741,s0.846898534,s-0.420957557
010_9,s-0.952863961,s0.865406387,s-2.740042777
011_0,s0.068466647,s0.040972635,s-89.234206861
011_1,s-0.613343147,s-0.365217984,s-89.234206861
011_2,s-0.606122136,s0.241401501,s-53.999386242
011_3,s0.836477839,s-0.293254799,s-95.377939362
011_4,s0.729228663,s0.419297445,s-74.774320857
011_5,s0.073259073,s-0.756557618,s-89.234206861
011_6,s0.051923157,s0.839676488,s-89.234206861
011_7,s-0.536035710,s-0.861762731,s-116.969320734
011_8,s0.952850752,s-0.874591320,s-90.579727831
011_9,s-0.605530700,s0.851270423,s-53.531122094
011_10,s0.919654880,s1.007062699,s-79.372805127
012_0,s0.183618499,s-0.126682487,s-85.561517970
012_1,s-0.532839161,s0.215716852,s-85.561517970
012_2,s-0.471111060,s-0.579528485,s-85.561517970
012_3,s0.123152985,s0.667677956,s-85.561517970
012_4,s0.682664903,s0.206929423,s-44.382438897
012_5,s0.592857325,s-0.605331063,s-79.800698515
012_6,s0.179371110,s-0.824840058,s-117.750266650
012_7,s0.520822691,s1.075252829,s-53.656922636
012_8,s-0.220891571,s0.947830546,s-36.847772535
012_9,s-1.119295380,s0.214765203,s-122.952535057
012_10,s-1.080130041,s0.842625305,s-97.592297289
012_11,s-0.906963522,s-0.865668404,s-108.626863840
013_0,s-0.071339612,s-0.128825427,s89.729463318
013_1,s-0.688897326,s0.379527148,s89.729463318
013_2,s-0.740296789,s-0.531283378,s89.729463318
013_3,s0.559895391,s0.394651762,s99.062285121
013_4,s0.549064289,s-0.215096523,s118.141158129
013_5,s0.006519500,s0.770637830,s89.729463318
013_6,s-0.047776147,s-0.935562660,s89.729463318
013_7,s0.541455864,s0.807936926,s48.565718256
013_8,s-0.718624751,s1.018487359,s66.042730047
013_9,s-1.255796998,s-0.827373494,s130.593576054
013_10,s0.521263962,s-0.766893800,s136.576158493
013_11,s-1.128187379,s-0.097499045,s78.864304984
013_12,s-1.210140122,s0.684514178,s46.292504400
014_0,s-0.106235122,s-0.188490248,s-2.511911146
014_1,s0.325489401,s0.479420868,s-2.511911146
014_2,s-0.473776364,s0.514411913,s-2.511911146
014_3,s0.690992950,s-0.229367217,s-2.511911146
