id,x,y,deg
001_0,s0.162434171,s0.131322888,s45.000000000
002_0,s-1.263608712,s0.094713991,s-16.448466507
002_1,s-1.560452478,s0.648905168,s163.486461739
003_0,s0.532336318,s-0.170123976,s66.340622269
003_1,s0.179271990,s-0.837197431,s27.171625806
003_2,s0.553762945,s-0.719776070,s-33.898051617
004_0,s0.354838726,s0.398451647,s-19.219480796
004_1,s-0.189014214,s0.387447379,s-15.293396742
004_2,s-0.392846087,s0.908789428,s27.281788197
004_3,s0.316107409,s1.351374930,s164.211301806
005_0,s-0.207854855,s0.420889664,s35.020199615
005_1,s-0.286933290,s1.025307107,s-12.922721026
005_2,s-0.946005355,s0.964538726,s35.020199615
005_3,s-0.737856374,s0.560033498,s81.300887166
005_4,s-0.560779008,s1.475051837,s81.980322991
006_0,s1.193899036,s-1.006872973,s-28.084802711
006_1,s0.750475568,s-0.544311934,s-70.089255978
006_2,s0.413455326,s-0.985632083,s15.011703359
006_3,s0.628589756,s-1.339343422,s-88.737017915
006_4,s1.169266185,s-1.759559910,s-42.842081499
006_5,s0.325681233,s-1.681267518,s29.764619816
007_0,s0.142079400,s0.305941797,s78.005073279
007_1,s-0.014586200,s-0.328179900,s33.181029884
007_2,s0.453553908,s0.214445503,s-169.636832837
007_3,s-0.129812035,s0.804533491,s52.247520020
007_4,s-0.755395077,s0.161696448,s-150.275290452
007_5,s-0.731645263,s0.520916855,s15.384232428
007_6,s0.256255114,s1.033202248,s-139.903575772
008_0,s0.384499178,s0.241190361,s-117.365578069
008_1,s0.815768607,s0.763097988,s-164.322885910
008_2,s0.353855004,s1.009138264,s-71.826617371
008_3,s0.054944975,s0.834410650,s-178.017793273
008_4,s-0.480682310,s0.216372829,s-117.365578069
008_5,s-0.492781415,s0.545210982,s1.329996295
008_6,s-0.477370211,s-0.352030321,s-105.002945347
008_7,s0.377130553,s-0.345625741,s-100.194914748
009_0,s-0.073277221,s-0.371886398,s-100.026725840
