id,x,y,deg
001_0,s2.506694344,s15.200861335,s-45.004631174
002_0,s-0.354471350,s-0.121297881,s157.210368272
002_1,s0.039811293,s-0.224583539,s-155.728549949
003_0,s-2.203312915,s-1.111069038,s-166.159599454
003_1,s-1.703737912,s-1.922905897,s16.713466773
003_2,s-1.589272349,s-1.062691804,s-161.976203208
004_0,s-0.195947806,s-0.177122153,s-9.186943767
004_1,s0.177468031,s0.489455938,s-27.934902735
004_2,s-0.344578094,s0.572425333,s38.760599624
004_3,s0.313486280,s-0.204317536,s-28.989529529
005_0,s0.870916763,s0.010825717,s161.262016366
005_1,s1.217546799,s0.673703718,s180.000000000
005_2,s1.614478350,s-0.013801895,s0.000000000
005_3,s0.742371975,s0.279990727,s-0.715455496
005_4,s1.900266444,s0.893419358,s-168.609085423
006_0,s-0.018801262,s2.908088804,s34.440633106
006_1,s-0.391737440,s3.696262033,s41.602169335
006_2,s-0.714788114,s3.151062598,s34.147858047
006_3,s0.080330596,s3.524795928,s15.823637257
006_4,s0.450474364,s2.717917868,s-1.110190791
006_5,s-0.388592032,s2.658579512,s71.147938293
007_0,s0.164131914,s-1.192398637,s-1.865910071
007_1,s0.588122841,s-0.550300474,s-4.590046932
007_2,s-0.159343237,s-0.519809901,s16.528250831
007_3,s0.840280165,s-0.999378959,s-27.355767396
007_4,s0.544619545,s-1.826456423,s-6.574575153
007_5,s-0.338560745,s-1.814809767,s5.549063345
007_6,s-0.598217636,s-1.028047040,s2.979758200
008_0,s-0.090407225,s-0.192269972,s0.010053246
008_1,s0.456011867,s0.541095012,s14.806201040
008_2,s-0.178298031,s0.638667852,s-19.420887164
008_3,s0.709725112,s-0.192129579,s0.010053246
008_4,s0.308620755,s-0.874820298,s0.010053246
008_5,s-0.489254578,s-0.874820298,s0.010053246
008_6,s-0.612488437,s0.029576361,s0.010053246
008_7,s1.046051540,s0.468801544,s-20.615416024
009_0,s-0.093540105,s-0.204344958,s0.209321543
009_1,s0.319816371,s0.426790385,s-1.801218042
009_2,s-0.390965810,s0.480605504,s36.920150641
009_3,s0.740526025,s-0.218604008,s-2.314354449
009_4,s0.308887540,s-0.883276875,s0.209321543
009_5,s-0.294814049,s-1.004829195,s1.675973325
009_6,s-0.566887158,s-0.164064040,s36.153164279
009_7,s0.730562589,s0.651607404,s-44.070491015
009_8,s0.886149158,s-1.021012724,s-8.178081310
010_0,s0.189862745,s-0.095359041,s88.525216999
010_1,s-0.492546166,s0.322408662,s88.525216999
010_2,s-0.512074160,s-0.473025391,s88.525216999
010_3,s0.210455733,s0.704508265,s88.525216999
010_4,s-0.069247762,s1.085995373,s56.650243777
010_5,s0.776957735,s-0.568291001,s88.525216999
010_6,s-0.079903358,s-0.739583875,s113.629377731
010_7,s-0.568756262,s0.918467287,s78.014376381
010_8,s1.005474178,s-0.072281815,s58.457225949
010_9,s0.991179877,s0.552044924,s99.993250423
011_0,s-0.093503349,s-0.190449520,s0.174314021
011_1,s0.303522502,s0.492946331,s0.174314021
011_2,s-0.492922186,s0.495257275,s0.174314021
011_3,s0.710273010,s-0.190094087,s0.174314021
011_4,s-0.126637976,s-0.655435796,s-58.682030526
011_5,s-0.704877100,s-0.512354482,s-18.389471650
011_6,s-0.931917583,s0.253925407,s14.620952352
011_7,s0.976492012,s0.505420893,s-32.513956773
011_8,s0.711219280,s-0.659180292,s-55.009539432
011_9,s-0.157599506,s1.002516534,s-33.314646001
011_10,s0.676764199,s1.008004320,s-26.730306602
012_0,s-0.091399332,s-0.185418724,s0.302502221
012_1,s0.302497658,s0.502643252,s-0.814590384
012_2,s-0.493143710,s0.498084157,s0.302502221
012_3,s0.740913678,s-0.152958945,s0.302502221
012_4,s0.334495553,s-0.811430207,s0.302502221
012_5,s-0.699840892,s-0.780944400,s4.774926574
012_6,s-0.682458139,s0.069789891,s32.366654929
012_7,s0.965108235,s0.614068985,s-23.803538259
012_8,s0.922252084,s-0.587202926,s-31.888550555
012_9,s-0.092507628,s1.170634467,s0.302502221
012_10,s0.704501444,s1.172803516,s-4.230964823
012_11,s-0.738482643,s1.211585744,s19.733379443
013_0,s-0.086581806,s-0.187644592,s0.760796102
013_1,s0.300255630,s0.507949127,s0.760796102
013_2,s-0.496859696,s0.493896067,s0.760796102
013_3,s0.712181577,s-0.182813870,s0.760796102
013_4,s0.321177710,s-0.867915022,s0.760796102
013_5,s-0.549130470,s-0.874719068,s-5.428743746
013_6,s-0.887942048,s-0.204062196,s0.760796102
013_7,s1.003894971,s0.481824148,s-24.147128303
013_8,s0.833255055,s-0.626573218,s-40.298012719
013_9,s-0.061064596,s1.076654779,s25.196348412
013_10,s0.764589810,s0.937796353,s2.614891256
013_11,s-0.960858038,s1.029364996,s1.083589214
013_12,s-1.130021330,s0.579964886,s32.465383616
014_0,s-0.095177035,s-0.191911262,s-0.067207089
014_1,s0.301983638,s0.500167570,s-0.067207089
014_2,s-0.493637534,s0.500869487,s-0.067207089
014_3,s0.704954764,s-0.192849805,s-0.067207089
