id,x,y,deg
001_0,s0.162434171,s0.131322888,s45.000000000
002_0,s0.202483143,s-0.051294615,s-8.170000000
002_1,s-0.162033792,s0.583670536,s168.750189591
003_0,s-6.442452950,s5.593454243,s-43.687047128
003_1,s-5.608785244,s6.040857258,s143.570189591
003_2,s-6.006212005,s6.487671885,s-97.069792002
004_0,s-7.937875286,s3.127629507,s-24.227047128
004_1,s-7.300883157,s3.827209617,s163.030189591
004_2,s-7.824462345,s4.116097442,s-77.609792002
004_3,s-8.237735784,s4.317945784,s168.294047936
005_0,s-0.117153005,s0.172932745,s130.161169042
005_1,s-0.266998993,s-0.543725834,s-52.918641367
005_2,s0.659369892,s-0.351340829,s119.824121914
005_3,s0.813023147,s0.119586336,s66.441377040
005_4,s-0.012735070,s-1.084966259,s66.441377040
006_0,s-6.322264721,s-4.362253891,s45.000000000
006_1,s-6.779167570,s-5.180233339,s34.662952872
006_2,s-7.049009057,s-4.273394393,s-138.079810409
006_3,s-7.566872489,s-4.572407448,s-18.719792002
006_4,s-7.625960744,s-5.665949914,s45.000000000
006_5,s-7.953221645,s-4.821951068,s-132.815952064
007_0,s-0.117153005,s0.172932745,s130.161169042
007_1,s-0.266998993,s-0.543725834,s-52.918641367
007_2,s0.659369892,s-0.351340829,s119.824121914
007_3,s0.813023147,s0.119586336,s66.441377040
007_4,s-0.012735070,s-1.084966259,s66.441377040
007_5,s0.203329379,s-1.490988234,s-47.654783022
007_6,s1.071925642,s-1.236087698,s130.161169042
008_0,s0.154545108,s0.140521779,s48.324569020
008_1,s-0.576129297,s0.187086286,s-134.755241389
008_2,s-0.254152429,s-0.702577807,s37.987521892
008_3,s0.233821143,s-0.787804038,s-15.395222982
008_4,s-1.075780784,s-0.141455541,s-15.395222982
008_5,s-1.447008168,s-0.412984398,s-129.491383044
008_6,s-1.071352749,s-1.236584274,s48.324569020
008_7,s-0.137406239,s-1.059332893,s-129.491383044
009_0,s-0.120838167,s0.170378103,s131.391169042
009_1,s-0.255265907,s-0.549331923,s-51.688641367
009_2,s0.666759808,s-0.337105905,s121.054121914
009_3,s0.810268783,s0.137011056,s67.671377040
009_4,s0.010557643,s-1.084989632,s67.671377040
009_5,s0.235287934,s-1.486280033,s-46.424783022
009_6,s1.098212386,s-1.212793031,s131.391169042
009_7,s1.034999073,s-0.264279344,s-46.424783022
009_8,s-0.132951331,s-1.559106593,s121.054121914
010_0,s0.139930234,s-0.155080916,s-41.894359696
010_1,s0.189286320,s0.575410231,s135.025829895
010_2,s-0.701601557,s0.256835136,s-52.231406824
010_3,s-0.788691722,s-0.230809223,s-105.614151698
010_4,s-0.137343931,s1.076313435,s-105.614151698
010_5,s-0.407452339,s1.448575625,s140.289688240
010_6,s-1.232481589,s1.076069939,s-41.894359696
010_7,s-1.058800128,s0.141452965,s140.289688240
010_8,s-0.050253768,s1.563957794,s-52.231406824
010_9,s-1.183125503,s1.806561086,s135.025829895
011_0,s0.155116769,s-0.139890489,s-35.999843968
011_1,s0.129192406,s0.591807035,s140.920345623
011_2,s-0.724268227,s0.183424556,s-46.336891096
011_3,s-0.760818144,s-0.310585385,s-99.719635970
011_4,s-0.247152256,s1.056517737,s-99.719635970
011_5,s-0.554062838,s1.399072236,s146.184203968
011_6,s-1.336474534,s0.943807820,s-35.999843968
011_7,s-1.067728724,s0.031969114,s146.184203968
011_8,s-0.210602340,s1.550527677,s-46.336891096
011_9,s-1.362398897,s1.675505345,s140.920345623
011_10,s-1.850140420,s-0.423295301,s-35.999843968
012_0,s0.162794988,s0.130875333,s44.842308224
012_1,s-0.563702033,s0.221734669,s-138.237502185
012_2,s-0.296357404,s-0.685843511,s34.505261096
012_3,s0.185538600,s-0.800551658,s-18.877483778
012_4,s-1.082386458,s-0.075851971,s-18.877483778
012_5,s-1.469420955,s-0.324331322,s-132.973643840
012_6,s-1.144484178,s-1.169227671,s44.842308224
012_7,s-0.201495896,s-1.049031009,s-132.973643840
012_8,s-1.564282462,s0.038856176,s34.505261096
012_9,s-1.870981199,s-1.078368336,s-138.237502185
012_10,s0.123440880,s-1.893927358,s44.842308224
012_11,s-1.603636570,s-1.985946515,s34.505261096
013_0,s0.162794988,s0.130875333,s44.842308224
013_1,s-0.563702033,s0.221734669,s-138.237502185
013_2,s-0.296357404,s-0.685843511,s34.505261096
013_3,s0.185538600,s-0.800551658,s-18.877483778
013_4,s-1.082386458,s-0.075851971,s-18.877483778
013_5,s-1.469420955,s-0.324331322,s-132.973643840
013_6,s-1.144484178,s-1.169227671,s44.842308224
013_7,s-0.201495896,s-1.049031009,s-132.973643840
013_8,s-1.564282462,s0.038856176,s34.505261096
013_9,s-1.870981199,s-1.078368336,s-138.237502185
013_10,s0.123440880,s-1.893927358,s44.842308224
013_11,s-1.603636570,s-1.985946515,s34.505261096
013_12,s-1.121740565,s-2.100654663,s-18.877483778
014_0,s0.151565050,s0.143730986,s49.525883494
014_1,s-0.579924996,s0.174966408,s-133.553926915
014_2,s-0.239366773,s-0.707751779,s39.188836366
014_3,s0.250286343,s-0.782728737,s-14.193908508
014_4,s-1.072578665,s-0.163978578,s-14.193908508
014_5,s-1.438031754,s-0.443230667,s-128.290068570
014_6,s-1.045191838,s-1.258773769,s49.525883494
014_7,s-0.115166745,s-1.061980826,s-128.290068570
014_8,s-1.562231780,s-0.089001620,s39.188836366
014_9,s-1.776681885,s-1.227538346,s-133.553926915
014_10,s0.277673169,s-1.877523927,s49.525883494
014_11,s-1.436123661,s-2.110256534,s39.188836366
014_12,s-0.946470546,s-2.185233492,s-14.193908508
014_13,s-0.453816877,s-1.846288505,s-133.553926915
015_0,s0.158464545,s-0.136086549,s-34.609843968
015_1,s0.114798514,s0.594766800,s142.310345623
015_2,s-0.728504560,s0.165801502,s-44.946891096
015_3,s-0.753060179,s-0.328949687,s-98.329635970
015_4,s-0.272708216,s1.050211500,s-98.329635970
015_5,s-0.587838069,s1.385220255,s147.574203968
015_6,s-1.358975865,s0.911110300,s-34.609843968
015_7,s-1.068190030,s0.006059067,s147.574203968
015_8,s-0.248152599,s1.544962689,s-44.946891096
015_9,s-1.402641896,s1.641963649,s142.310345623
015_10,s-1.839327827,s-0.468050887,s-34.609843968
015_11,s-2.245944970,s1.212998351,s-44.946891096
015_12,s-2.270500589,s0.718247161,s-98.329635970
015_13,s-1.882993858,s0.262802461,s142.310345623
015_14,s-1.790148627,s2.097408350,s-98.329635970
016_0,s0.180457081,s0.105194119,s36.284813507
016_1,s-0.524431847,s0.303145975,s-146.794996902
016_2,s-0.395112810,s-0.634109533,s25.947766379
016_3,s0.064349490,s-0.819247626,s-27.434978495
016_4,s-1.081623205,s0.086053524,s-27.434978495
016_5,s-1.501323035,s-0.102068093,s-141.531138557
016_6,s-1.305725850,s-0.985909420,s36.284813507
016_7,s-0.355350339,s-1.007369242,s-141.531138557
016_8,s-1.541085504,s0.271191616,s25.947766379
016_9,s-2.010614780,s-0.787957563,s-146.794996902
016_10,s-0.159753156,s-1.891210569,s36.284813507
016_11,s-1.881295741,s-1.725213072,s25.947766379
016_12,s-1.421833442,s-1.910351165,s-27.434978495
016_13,s-0.864642084,s-1.693258712,s-146.794996902
016_14,s-2.567806137,s-1.005050014,s-27.434978495
016_15,s-2.647295729,s0.803233058,s-141.531138557
017_0,s0.180640405,s0.104879002,s36.184813507
017_1,s-0.523901959,s0.304060819,s-146.894996902
017_2,s-0.396218937,s-0.633418966,s25.847766379
017_3,s0.062919535,s-0.819358689,s-27.534978495
017_4,s-1.081471366,s0.087941181,s-27.534978495
017_5,s-1.501498890,s-0.099447635,s-141.631138557
017_6,s-1.307444597,s-0.983628998,s36.184813507
017_7,s-0.357107988,s-1.006747505,s-141.631138557
017_8,s-1.540609839,s0.273880903,s25.847766379
017_9,s-2.011986962,s-0.784447180,s-146.894996902
017_10,s-0.163053696,s-1.890928867,s36.184813507
017_11,s-1.884303939,s-1.721926965,s25.847766379
017_12,s-1.425165467,s-1.907866689,s-27.534978495
017_13,s-0.867596060,s-1.691747049,s-146.894996902
017_14,s-2.569556369,s-1.000566818,s-27.534978495
017_15,s-2.645889791,s0.807852235,s-141.631138557
017_16,s-2.451835499,s-0.076329127,s36.184813507
018_0,s0.133999025,s-0.160233648,s-44.049624190
018_1,s0.210792209,s0.567884574,s132.870565401
018_2,s-0.691446283,s0.283038991,s-54.386671318
018_3,s-0.796813968,s-0.200985150,s-107.769416192
018_4,s-0.096769216,s1.080717209,s-107.769416192
018_5,s-0.352686661,s1.462874181,s138.134423746
018_6,s-1.191141314,s1.121659373,s-44.049624190
018_7,s-1.052731411,s0.181171822,s138.134423746
018_8,s0.008598468,s1.564741349,s-54.386671318
018_9,s-1.114348130,s1.849777597,s132.870565401
018_10,s-1.891186064,s-0.160042985,s-44.049624190
018_11,s-2.016586622,s1.564932013,s-54.386671318
018_12,s-2.121954307,s1.080907872,s-107.769416192
018_13,s-1.814392881,s0.568075238,s132.870565401
018_14,s-1.421909556,s2.362610231,s-107.769416192
018_15,s0.347358090,s2.744576539,s138.134423746
018_16,s-0.491096563,s2.403361733,s-44.049624190
018_17,s-1.677826999,s2.744767203,s138.134423746
019_0,s0.134014110,s-0.160221032,s-44.044230002
019_1,s0.210738744,s0.567904417,s132.875959589
019_2,s-0.691472927,s0.282973893,s-54.381277130
019_3,s-0.796795042,s-0.201060166,s-107.764022004
019_4,s-0.096870962,s1.080708093,s-107.764022004
019_5,s-0.352824384,s1.462840970,s138.139817934
019_6,s-1.191246909,s1.121547227,s-44.044230002
019_7,s-1.052748463,s0.181072710,s138.139817934
019_8,s0.008451153,s1.564742152,s-54.381277130
019_9,s-1.114522275,s1.849672677,s132.875959589
019_10,s-1.891170989,s-0.160221032,s-44.044230002
019_11,s-2.016733946,s1.564742152,s-54.381277130
019_12,s-2.122056061,s1.080708093,s-107.764022004
019_13,s-1.814446355,s0.567904417,s132.875959589
019_14,s-1.422131980,s2.362476353,s-107.764022004
019_15,s0.347099697,s2.744609229,s138.139817934
019_16,s-0.491322828,s2.403315487,s-44.044230002
019_17,s-1.678085402,s2.744609229,s138.139817934
019_18,s-2.516507927,s2.403315487,s-44.044230002
020_0,s0.162794988,s0.130875333,s44.842308224
020_1,s-0.563702033,s0.221734669,s-138.237502185
020_2,s-0.296357404,s-0.685843511,s34.505261096
020_3,s0.185538600,s-0.800551658,s-18.877483778
020_4,s-1.082386458,s-0.075851971,s-18.877483778
