id,x,y,deg
001_0,s8.975903267,s11.839761397,s-44.997898563
002_0,s0.332452407,s0.050282062,s-156.778787684
002_1,s0.023613483,s-0.476610577,s22.540379977
003_0,s-0.681758401,s0.500563908,s-166.478874955
003_1,s-0.835308965,s-0.365861624,s14.337516791
003_2,s-0.228987052,s-0.333770684,s9.324416062
004_0,s0.178194125,s-0.779114517,s66.370622269
004_1,s0.660427100,s-1.437246062,s88.784662415
004_2,s0.775687583,s-0.862652649,s110.877692131
004_3,s-0.264495885,s-1.661060388,s-94.732916963
005_0,s0.856045246,s-0.343157541,s67.670892921
005_1,s0.313522256,s0.514000287,s-115.144502844
005_2,s0.446980305,s-0.680708739,s-113.004544988
005_3,s1.040219395,s0.098004243,s-89.672091548
005_4,s1.201227445,s-0.380640549,s-141.058905357
006_0,s1.674748017,s-0.297395093,s-4.723748850
006_1,s1.222254928,s-0.949444489,s-4.723748850
006_2,s2.022611521,s-0.731111893,s-18.306638336
006_3,s0.883759911,s-0.230764888,s175.276251150
006_4,s1.101355947,s0.022875452,s8.614179580
006_5,s2.122961777,s0.109877687,s-28.361671397
007_0,s0.275488938,s-0.179405220,s103.437929357
007_1,s-0.446936515,s0.075194172,s-76.562070643
007_2,s-0.490527021,s-0.749284942,s-80.061125124
007_3,s0.173794234,s0.604097741,s-69.928692084
007_4,s0.600534044,s0.195674390,s-52.006347665
007_5,s0.524660862,s-0.337285311,s-81.429466131
007_6,s0.580474345,s-0.761032780,s107.931143497
008_0,s-0.104795675,s0.194123240,s0.400000000
008_1,s-0.497276196,s-0.496767420,s0.400000000
008_2,s-0.412238365,s0.678646959,s58.432910531
008_3,s0.297283047,s-0.490290483,s0.400000000
008_4,s0.488463952,s0.397163030,s18.015961304
008_5,s-0.827268164,s0.162160908,s22.898528222
008_6,s0.649303958,s-0.076541592,s-42.401704298
008_7,s-0.598172964,s-0.943826139,s42.529455902
009_0,s-0.000362244,s-0.003836415,s-82.008657275
009_1,s-0.695612405,s0.148241570,s-48.441099712
009_2,s0.624641496,s0.380824859,s-57.960691944
009_3,s-0.487237471,s-0.702271304,s-65.013934327
009_4,s0.686300052,s-0.359428039,s-67.514406879
009_5,s-0.111454708,s0.781023348,s-81.796291489
009_6,s0.287220638,s-0.624570586,s-119.582779245
009_7,s-0.708400331,s0.820116526,s-53.923813358
009_8,s0.659236798,s1.080808985,s-70.459357377
010_0,s-1.043886857,s-0.020985460,s7.419353926
010_1,s-1.448300250,s-0.725961264,s0.224951380
010_2,s-1.924331574,s0.939800121,s7.028427430
010_3,s-0.676728133,s-0.707126028,s-2.776290336
010_4,s-0.642911143,s0.473960776,s12.416817246
010_5,s-1.641936133,s0.073697297,s0.100950580
010_6,s-1.265900192,s0.863178134,s-28.760676154
010_7,s-1.961772009,s-0.598103234,s9.943423933
010_8,s-1.996133570,s0.477589858,s52.719064418
010_9,s-0.448445697,s1.028558475,s-28.171594394
011_0,s-0.154193348,s-0.131108082,s0.105430408
011_1,s-0.467072409,s-0.886968516,s9.675972493
011_2,s-0.338815492,s0.679022616,s10.410953240
011_3,s0.081857782,s-0.815442463,s-15.008484490
011_4,s0.695803632,s-0.888297144,s-15.932306265
011_5,s-0.759388619,s0.000247765,s0.083641837
011_6,s0.653282018,s-0.117446188,s0.105430408
011_7,s0.423791510,s0.653246018,s9.207443895
011_8,s-0.922306511,s0.811565810,s-4.001504825
011_9,s1.118253308,s-0.041512148,s-23.294960632
011_10,s1.066822197,s0.734617729,s-5.889230082
012_0,s-0.099681880,s-0.458345507,s1.823582016
012_1,s-0.550403720,s-0.879088157,s2.095701147
012_2,s-0.329916769,s0.409743922,s-0.090597814
012_3,s0.319473766,s-1.134650522,s1.823582016
012_4,s0.463093298,s0.417056331,s-2.012054970
012_5,s-0.800276204,s-0.023688798,s-0.090597814
