id,x,y,deg
001_0,s21.830914619,s-6.828861905,s-135.003293415
002_0,s1.835453055,s-1.158858262,s156.565454109
002_1,s2.145157000,s-1.686171198,s-22.573943197
003_0,s-0.299963882,s0.975624933,s-160.508241346
003_1,s-0.903413410,s0.970624292,s-168.317294131
003_2,s-0.385592163,s0.126590633,s19.322022297
004_0,s3.647794294,s1.743081839,s-149.202874867
004_1,s3.008716119,s1.140123873,s-145.606952030
004_2,s2.961056887,s1.660590821,s-123.253593586
004_3,s3.932632224,s0.774896567,s51.988466216
005_0,s0.302684774,s1.967358606,s-101.657877572
005_1,s0.919815246,s2.450860722,s-101.856932033
005_2,s0.972190320,s1.545129865,s-113.629377731
005_3,s0.321057121,s2.383242909,s-54.145680610
005_4,s1.506873683,s1.912483951,s77.437875353
006_0,s-0.848501527,s-2.269447435,s22.819227739
006_1,s-1.373868159,s-1.982584630,s150.697403089
006_2,s-0.585360050,s-1.748612801,s-129.548388864
006_3,s-0.673772921,s-3.062692758,s25.875061194
006_4,s-0.472447703,s-2.339399254,s-158.867139557
006_5,s-1.343368713,s-2.558560452,s-153.686365595
007_0,s1.177205213,s-1.304025522,s127.910172588
007_1,s1.170367739,s-2.558472839,s-13.490156824
007_2,s0.884286853,s-1.975193249,s165.908242422
007_3,s1.502760828,s-1.805128483,s-10.338048921
007_4,s1.732872115,s-2.070833659,s166.366842448
007_5,s2.026450181,s-1.225730266,s171.515047262
007_6,s2.036481683,s-2.635832056,s-14.637274923
008_0,s-1.064409602,s-1.257448045,s97.704636295
008_1,s-2.415050833,s-1.671552187,s-83.643236848
008_2,s-1.935543677,s-1.201083739,s90.568328215
008_3,s-1.595439677,s-1.769829932,s-82.590000000
008_4,s-1.765128643,s-2.041593936,s97.266999272
008_5,s-0.946760961,s-2.133473778,s97.266999272
008_6,s-2.288149022,s-2.558597917,s-82.590000000
008_7,s-1.424976446,s-2.611942515,s-89.723804088
009_0,s1.548434242,s0.530239120,s-111.226704835
009_1,s2.912861871,s0.315949678,s66.849444772
009_2,s2.323609623,s0.088707439,s-113.629377731
009_3,s2.118295166,s0.802600525,s66.849444772
009_4,s2.402233599,s0.953724438,s-113.293555956
009_5,s1.739432509,s1.439472087,s-113.293555956
009_6,s3.121652165,s1.120084751,s66.849444772
009_7,s2.463348519,s1.603863137,s65.237887135
009_8,s2.805071964,s1.709960634,s-107.204108860
010_0,s-1.059510905,s-1.271267014,s97.972265856
010_1,s-2.377635191,s-1.724193722,s-81.299806210
010_2,s-1.915957658,s-1.234388438,s92.671955560
010_3,s-1.555609477,s-1.801404655,s-81.299806210
010_4,s-2.562342703,s-3.036561984,s1.029485559
010_5,s-1.860358172,s-2.087766785,s98.557193062
010_6,s-0.895438363,s-2.140083681,s98.557193062
010_7,s-2.227633823,s-2.595687863,s-81.286753207
010_8,s-1.414202719,s-2.678712833,s-83.939350135
010_9,s-1.603432230,s-2.917571023,s113.629377731
011_0,s-0.519040377,s-1.682044386,s12.855802387
011_1,s-0.130702385,s-0.154237474,s-23.394608954
