id,x,y,deg
020_0,s-2.282736793493408,s-1.877797430646553,s-117.500872826163757
020_1,s-2.174967919463953,s-2.476234613225903,s-79.995063083147883
020_2,s-2.565464903020466,s-2.226970304338703,s175.766711884287247
020_3,s-2.148734194607730,s-2.900238911759470,s-126.448626391720467
020_4,s-3.636715799350538,s-1.798226860579528,s-138.706133731214834
020_5,s-3.979078019607893,s-4.317070556968879,s-114.939746069787077
020_6,s-1.535282031409665,s-2.698943760441962,s-162.034746795299014
020_7,s-2.587591646370555,s-3.235113132125626,s-173.330702651886725
020_8,s-3.274882926267308,s-3.448901270223284,s-128.672645449000044
020_9,s-2.268999311983285,s-4.004940431873870,s-141.818609640188384
020_10,s-2.149204244032851,s-3.537175712474107,s-85.176015329503230
020_11,s-3.093979934900929,s-1.900623818042376,s-67.861471832175766
020_12,s-3.429108495615633,s-4.193086542473904,s-74.010095371229966
020_13,s-1.554391053656361,s-1.790066353076595,s-152.525889319446975
020_14,s-3.992608499439534,s-2.323088486240161,s-92.890434116862380
020_15,s-2.822844121055915,s-4.318159448379022,s-114.629362770427534
020_16,s-1.617436138141696,s-3.825592520177007,s172.946853273426569
020_17,s-4.020017630935072,s-2.773248680057840,s-134.882113577325811
020_18,s-3.747323411327999,s-3.442780711959497,s160.296525367910220
020_19,s-3.351973253852071,s-2.664200390188291,s-137.297770256921353
