id,x,y,deg
030_0,s1.007563124000000,s0.893477016000000,s-16.893729125000000
030_1,s1.641896437000000,s0.947949350000000,s30.000000000000000
030_2,s1.828511342000000,s1.367451691000000,s-16.893729125000000
030_3,s1.007563124000000,s1.841426366000000,s-16.893729125000000
030_4,s1.641896437000000,s1.895898700000000,s30.000000000000000
030_5,s1.828511342000000,s2.315401041000000,s-16.893729125000000
030_6,s2.462844655000000,s1.421924025000000,s30.000000000000000
030_7,s2.462844655000000,s2.369873375000000,s30.000000000000000
030_8,s2.649459561000000,s0.893477016000000,s-16.893729125000000
030_9,s2.649459561000000,s1.841426366000000,s-16.893729125000000
030_10,s2.649459561000000,s2.789375716000000,s-16.893729125000000
030_11,s1.007563124000000,s2.789375716000000,s-16.893729125000000
030_12,s1.641896437000000,s2.843848049000000,s30.000000000000000
030_13,s1.828511342000000,s3.263350391000000,s-16.893729125000000
030_14,s3.283792874000000,s0.947949350000000,s30.000000000000000
030_15,s3.283792874000000,s1.895898700000000,s30.000000000000000
030_16,s3.283792874000000,s2.843848049000000,s30.000000000000000
030_17,s2.462844655000000,s3.317822724000000,s30.000000000000000
030_18,s3.470407779000000,s1.367451691000000,s-16.893729125000000
030_19,s3.470407779000000,s2.315401041000000,s-16.893729125000000
030_20,s3.470407779000000,s3.263350391000000,s-16.893729125000000
030_21,s1.007563124000000,s3.737325066000000,s-16.893729125000000
030_22,s2.649459561000000,s3.737325066000000,s-16.893729125000000
030_23,s3.283792874000000,s3.791797399000000,s30.000000000000000
030_24,s1.641896437000000,s3.791797399000000,s30.000000000000000
030_25,s4.104741092000000,s1.421924025000000,s30.000000000000000
030_26,s4.104741092000000,s2.369873375000000,s30.000000000000000
030_27,s4.104741092000000,s3.317822724000000,s30.000000000000000
030_28,s4.291355998000000,s0.893477016000000,s-16.893729125000000
030_29,s4.291355998000000,s1.841426366000000,s-16.893729125000000
