id,x,y,deg
030_0,s-3.449724677157215,s-2.379596526013209,s136.674004888294888
030_1,s-2.369418706765929,s-2.968833769880088,s3.099389490907838
030_2,s-4.367928686716261,s-1.331661348804059,s43.525293330626617
030_3,s-2.448287594541311,s-3.437984932179487,s52.554295197115444
030_4,s-3.328602589762077,s-3.535153401586963,s-109.019460092844668
030_5,s-4.504335076174082,s-2.594070377059853,s117.319579461545942
030_6,s-4.156520181645837,s-2.509789714758164,s-27.396673596127911
030_7,s-2.029597277796849,s-3.168961095094391,s-150.541257221877942
030_8,s-5.116078245642416,s-2.389573928515987,s159.167740098567521
030_9,s-4.178996647225161,s-3.114553080193672,s86.324232713003781
030_10,s-4.026127274678278,s-3.687574303407215,s-19.744607157010421
030_11,s-2.391300428220782,s-1.989739128480185,s-80.412269434660800
030_12,s-2.216781909609302,s-1.367406653846840,s-127.933544402381074
030_13,s-2.952179572495617,s-0.446757563937296,s-107.299733666474452
030_14,s-2.720069859289889,s-1.551293671669647,s130.755350634051325
030_15,s-1.978623139564978,s-2.370915647407734,s-152.470788827014104
030_16,s-4.514887073813277,s-3.689195386491113,s37.145160941441453
030_17,s-3.974083587038805,s-0.869165546684160,s84.926415535366772
030_18,s-5.003667316279899,s-1.979318144218319,s-29.128437207225090
030_19,s-3.366397767392480,s-2.953863631579979,s149.722436387051175
030_20,s-3.706071990368329,s-1.316072159264261,s120.064343306787450
030_21,s-2.868326061440612,s-2.763828891661744,s23.226898711695497
030_22,s-4.528139496865369,s-1.999751612030316,s-71.321573290932150
030_23,s-5.105942072016759,s-0.587940521699813,s179.955057699038292
030_24,s-4.120107445369418,s-0.353048563649576,s83.448568339963856
030_25,s-1.995461045411254,s-0.712587447428968,s-27.932808635595023
030_26,s-3.574885497242914,s-1.910668062358405,s-50.231531548284266
030_27,s-3.720373386454222,s-0.612019915341286,s-57.231819199181729
030_28,s-3.106731858172195,s-1.219369246315285,s10.167090097364436
030_29,s-2.692262507471072,s-1.228947959870143,s-48.868595462550871
