id,x,y,deg
001_0,s0.000000000,s0.000000000,s-45.000000000
002_0,s-1.440813702,s-4.272591972,s66.370622269
002_1,s-1.963823710,s-4.580742590,s-113.618604370
003_0,s4.018063986,s4.052362084,s-155.463832876
003_1,s3.421506561,s4.145886866,s-66.360622269
003_2,s3.512515616,s3.695633908,s-115.083640419
004_0,s-0.356610058,s-7.193300089,s-113.770959699
004_1,s0.368217555,s-7.084022482,s-152.654235201
004_2,s0.486431862,s-7.862854193,s113.824168212
004_3,s-0.365114006,s-7.834345931,s-66.591179168
005_0,s17.244494515,s0.223800157,s-67.453859129
005_1,s17.423553595,s-0.228859040,s151.277196067
005_2,s17.668982332,s-0.613808272,s-111.668128003
005_3,s18.166774618,s-0.234637456,s-153.232390898
005_4,s17.747481925,s-0.095914794,s-36.537911409
006_0,s-1.847482700,s41.417344707,s67.549394989
006_1,s-1.545428606,s40.471745005,s112.618006528
006_2,s-2.577713723,s40.362240049,s24.944325126
006_3,s-1.753315732,s40.883046628,s-32.122772058
006_4,s-2.425810708,s41.109226064,s38.156685941
006_5,s-2.133935905,s40.591729631,s-0.871686182
007_0,s2.084599868,s-3.317313863,s-124.829696237
007_1,s2.473891169,s-4.059002786,s55.065562968
007_2,s2.657641671,s-3.099139738,s-167.809057784
007_3,s3.302000838,s-2.768473162,s150.524788284
007_4,s2.045523008,s-2.899530779,s-77.099738079
007_5,s2.815302283,s-3.965820196,s-115.535984613
007_6,s3.225723229,s-3.675606183,s-25.756203497
008_0,s3.190292569,s-3.075212149,s-158.807268148
008_1,s2.797588473,s-3.558695098,s-113.750196651
008_2,s3.720844101,s-3.321028700,s-130.789018139
008_3,s3.027520668,s-2.761946454,s-30.160073543
008_4,s2.612800343,s-2.290418774,s-75.834466707
008_5,s4.115384676,s-2.499159438,s57.686123946
008_6,s2.770781661,s-2.906406876,s152.114199253
008_7,s3.534065312,s-2.872544064,s-98.303473138
009_0,s0.398364241,s1.020486084,s-25.087274973
009_1,s1.433278638,s1.335619321,s59.911608877
009_2,s1.850060851,s0.442512055,s40.545221844
009_3,s1.881562294,s0.032507875,s111.861776671
009_4,s0.444586676,s0.720201526,s156.928177410
009_5,s1.013489730,s0.032662114,s112.190403256
009_6,s0.997062965,s0.874310080,s17.018769341
009_7,s1.316592510,s0.527009900,s100.894754944
009_8,s1.795118017,s0.995574060,s-22.392184938
010_0,s3.441560217,s-2.177785792,s-17.715975048
010_1,s4.001704758,s-1.201261393,s-153.731835033
010_2,s3.694492578,s-2.447504765,s-126.248494231
010_3,s2.606599247,s-1.562178372,s-18.801079902
010_4,s2.669880574,s-1.829591589,s152.916878474
010_5,s4.066349848,s-2.082917285,s26.497377572
010_6,s3.240151802,s-1.666221082,s26.887132181
010_7,s3.258302811,s-2.695079174,s19.968809642
010_8,s2.604398083,s-2.708216432,s-26.834145549
010_9,s3.656371772,s-1.158567815,s75.291600795
011_0,s3.255600526,s-4.390239516,s68.272915366
011_1,s4.112096985,s-4.205223160,s-150.725680294
011_2,s3.147041894,s-3.765981765,s84.856593394
011_3,s3.846261350,s-2.963308566,s-69.267356853
011_4,s4.182121996,s-3.498331672,s-29.345657065
011_5,s3.702888813,s-4.610406423,s113.629377731
011_6,s3.546834616,s-4.177638012,s-54.395535865
011_7,s2.590314761,s-3.346001651,s19.634292704
011_8,s3.698808598,s-3.637645537,s19.680292256
011_9,s2.737061266,s-4.707167748,s29.015507452
011_10,s3.095983893,s-3.266882375,s-30.289543269
012_0,s-2.840149735,s-3.306386880,s-60.793347976
012_1,s-1.950161888,s-3.233955593,s-23.054865850
012_2,s-3.275961345,s-2.519354481,s-66.370622269
012_3,s-3.317164504,s-4.140014668,s-59.728589006
012_4,s-3.793117401,s-3.312815360,s-59.400536836
012_5,s-2.694891658,s-2.600114269,s-107.687077101
012_6,s-3.843058625,s-2.669685391,s-106.841415923
012_7,s-3.371335357,s-3.506139371,s-106.294265961
012_8,s-2.891905680,s-4.304467261,s-109.395945052
012_9,s-3.853185161,s-4.218497404,s-119.951220398
012_10,s-2.417095084,s-3.482892988,s-108.015129271
012_11,s-2.375109795,s-4.118284318,s-61.121400146
013_0,s0.051084082,s0.012625196,s-83.946990746
013_1,s0.857471874,s-0.480505180,s-88.084417208
013_2,s-0.403231440,s-0.331432768,s-19.583191951
013_3,s-0.389369855,s0.463716395,s1.152389498
013_4,s-0.055843518,s0.947478433,s-66.370622269
013_5,s0.282861607,s0.405414794,s-36.750394577
013_6,s-0.527821456,s-0.863758835,s-56.444011255
013_7,s0.011621713,s-0.933250093,s-98.643680807
013_8,s1.190718200,s-1.003138724,s-45.077844613
013_9,s1.101900230,s0.862656146,s-61.843466671
013_10,s0.313867526,s-0.567336788,s-40.887821039
013_11,s0.811406286,s0.456522160,s-88.580201170
013_12,s1.129615570,s-0.071038052,s-53.951901161
014_0,s0.088537816,s1.069116773,s46.813256010
014_1,s-0.010892319,s-0.005919478,s0.589740321
014_2,s0.481781027,s-0.815369202,s0.589740321
014_3,s1.071322715,s1.020908399,s45.795051453
014_4,s-0.490364832,s-0.804340495,s0.141831101
014_5,s0.475812378,s0.823070164,s0.666714071
014_6,s-0.948423127,s-0.762135640,s27.819120539
014_7,s0.947703192,s0.010969071,s0.589740321
014_8,s0.564307688,s0.267953659,s45.158173323
014_9,s1.058915504,s-0.542872079,s46.736282260
014_10,s0.099610013,s-0.559902989,s46.809802948
014_11,s-0.507050097,s0.835941720,s10.313509077
014_12,s-0.967205390,s0.069616262,s23.190458482
014_13,s-0.382748122,s0.256920450,s45.815929630
015_0,s-0.820783784,s1.114167573,s45.964888352
015_1,s-0.973236615,s-0.618137564,s31.075898177
015_2,s0.102847711,s-0.555419030,s45.964888352
015_3,s-0.368141679,s0.267815548,s45.964888352
015_4,s-0.947291206,s0.003006352,s-0.181653587
015_5,s1.050031475,s-0.558425248,s45.964888352
015_6,s0.108052697,s1.088043906,s45.964888352
015_7,s-0.000107442,s0.000000134,s-0.181653587
015_8,s0.947900297,s-0.003174138,s-0.181653587
015_9,s0.476086934,s0.820228494,s-0.181653587
015_10,s0.579042086,s0.264809329,s45.964888352
015_11,s-0.471096832,s0.823234712,s-0.181653587
015_12,s-0.476301818,s-0.820228225,s-0.181653587
015_13,s1.054665341,s1.114315497,s46.864086622
015_14,s0.470820080,s-0.823468958,s-0.120000000
016_0,s-3.559290549,s4.518224617,s4.680011043
016_1,s-2.272951443,s4.799372653,s-47.368632459
016_2,s-3.998003441,s2.789377797,s29.115261094
016_3,s-2.558342166,s4.002027858,s-46.296844466
016_4,s-3.248383770,s4.960060214,s-62.932204493
016_5,s-3.039292801,s2.697257113,s-33.519094309
016_6,s-1.864189334,s4.110912701,s0.288067154
016_7,s-2.243112150,s3.441161362,s-49.856687406
016_8,s-2.428398565,s2.681474376,s5.336470957
016_9,s-1.970447884,s2.711203568,s-28.510899441
016_10,s-2.830575760,s4.391125074,s-20.770474017
016_11,s-3.018689186,s3.868568370,s34.882725805
016_12,s-4.058895909,s4.592719363,s18.417645585
016_13,s-3.477282315,s2.829050712,s23.402779484
016_14,s-3.228017823,s3.307214928,s-64.990339698
016_15,s-3.587446705,s3.778813796,s25.168494494
017_0,s0.699202757,s-0.499682560,s-97.299577506
017_1,s-0.981894693,s-0.177981233,s23.339469220
017_2,s-1.065761961,s-0.808792402,s-135.398002821
017_3,s-0.406920524,s-1.006585661,s-36.384895227
017_4,s0.206223721,s0.327439226,s-43.414673431
017_5,s-0.513304375,s0.879357903,s-32.718049850
017_6,s-0.571695278,s-0.084021384,s-36.628823965
017_7,s0.110490482,s-0.914729630,s-103.228091657
017_8,s0.775762503,s0.469617032,s-89.331200546
017_9,s-0.904862534,s0.460712602,s-83.621507812
017_10,s1.297458413,s0.805701648,s-17.618331527
017_11,s-0.799456325,s-0.482493026,s-83.621507812
017_12,s-1.028041776,s1.242471200,s-68.526547563
017_13,s0.000365032,s0.931663584,s-88.990902200
017_14,s1.025561370,s-0.136893492,s-44.993582251
017_15,s1.012649910,s-1.095233483,s-49.866323129
017_16,s0.124508605,s-0.250838000,s-73.488718299
018_0,s2.401483839,s-1.822217234,s-61.848204115
018_1,s3.811595955,s-2.364045258,s-126.066563650
018_2,s3.622263639,s-2.891490749,s-134.360895313
018_3,s1.935490060,s-3.750246605,s-140.260364142
018_4,s2.014482793,s-1.643683013,s163.712489386
018_5,s4.211228063,s-1.813131470,s-150.640826171
018_6,s4.268499123,s-3.416742758,s-155.051384849
018_7,s3.635376494,s-3.776153130,s-121.940130668
018_8,s2.479808626,s-3.882874153,s-57.650938260
018_9,s1.986370326,s-3.210852305,s-112.054312646
018_10,s2.012547714,s-2.623402390,s-34.052749083
018_11,s3.184527231,s-3.299740710,s-100.480433380
018_12,s2.572971463,s-2.382171884,s-95.874414402
018_13,s3.041416581,s-3.911830311,s-125.016807582
018_14,s2.470466455,s-2.814129332,s-148.504288247
018_15,s2.987454729,s-2.915761441,s-56.236968336
018_16,s3.484392917,s-1.884387226,s-55.448987092
018_17,s2.976549178,s-1.923383995,s-135.445486612
019_0,s-0.552867389,s-0.024403423,s-137.469852402
019_1,s0.741412957,s0.544793667,s-103.589390469
019_2,s-0.416896216,s-1.379685420,s-101.617594483
019_3,s-0.602830925,s0.921473386,s-54.820001108
019_4,s-1.170871499,s0.008256640,s-60.759895349
019_5,s0.781089972,s-0.097652895,s-63.118042691
