id,x,y,deg
001_0,s0.000000000000000,s0.000000000000000,s-45.000000000000000
002_0,s-1.440813701974410,s-4.272591972008629,s66.370622269343158
002_1,s-1.963823709972564,s-4.580742590011762,s-113.618604369656836
003_0,s4.018063986000000,s4.052362084000000,s-155.463832875999998
003_1,s3.421506561000000,s4.145886866000000,s-66.360622269000004
003_2,s3.512515616000000,s3.695633908000000,s-115.083640419000005
004_0,s-0.356610057724190,s-7.193300089063249,s-113.770959698837970
004_1,s0.368217555256428,s-7.084022481934692,s-152.654235200837974
004_2,s0.486431862394562,s-7.862854192913726,s113.824168212162022
004_3,s-0.365114005610494,s-7.834345931064757,s-66.591179167837979
005_0,s17.244494515000000,s0.223800157000000,s-67.453859128999994
005_1,s17.423553595000001,s-0.228859040000000,s151.277196067000006
005_2,s17.668982331999999,s-0.613808272000000,s-111.668128003000007
005_3,s18.166774618000002,s-0.234637456000000,s-153.232390898000006
005_4,s17.747481924999999,s-0.095914794000000,s-36.537911409000003
006_0,s-1.847482700000000,s41.417344706999998,s67.549394989000007
006_1,s-1.545428606000000,s40.471745005000002,s112.618006527999995
006_2,s-2.577713723000000,s40.362240049000000,s24.944325125999999
006_3,s-1.753315732000000,s40.883046628000002,s-32.122772058000002
006_4,s-2.425810708000000,s41.109226063999998,s38.156685940999999
006_5,s-2.133935905000000,s40.591729631000000,s-0.871686182000000
007_0,s-2.028072299000000,s3.662346995000000,s14.921914770000001
007_1,s-1.433753198000000,s3.778046110000000,s49.055601531999997
007_2,s-0.889507455000000,s4.034509565000000,s24.711612545000001
007_3,s-1.645428983000000,s3.421773579000000,s124.311048470000003
007_4,s-1.319993952000000,s3.287343422000000,s-113.539377731000002
007_5,s-0.940033729000000,s3.784959163000000,s-155.349112600000012
007_6,s-1.373978109000000,s4.420334648000000,s66.581966824999995
008_0,s2.580050035082298,s2.934844576806761,s24.219498282915918
008_1,s2.661659144777203,s3.910548788832279,s-21.455448067084081
008_2,s3.085126675966164,s3.306246290964693,s66.210449888915917
008_3,s3.210323942039639,s3.071271968003842,s-115.633344467084072
008_4,s3.705301184756529,s3.976666074158617,s-30.961034131084080
008_5,s3.382727742905867,s3.499078858057751,s-68.394322971084080
008_6,s3.310425846609867,s4.445699465035142,s157.215126735915902
008_7,s3.868881761025052,s3.117920262209767,s-23.900540409084080
009_0,s1.935823671737469,s0.089216709392465,s111.663221155999992
009_1,s1.064577969660730,s0.942861909454404,s16.820213825000000
009_2,s1.369649235233013,s0.588446979076251,s100.696199428000000
009_3,s1.488113425558797,s1.394985470458971,s59.713053361000000
009_4,s0.506500123667942,s0.784149775995535,s156.729621894000019
009_5,s1.058331094963364,s0.097487875863930,s111.991847739999997
009_6,s1.897818925267474,s0.502342823764275,s40.346666328000005
009_7,s1.854855364799424,s1.050343647666652,s-19.960346772000001
009_8,s0.458669534780481,s1.073652981417471,s-22.590740454000002
010_0,s-2.734905287000000,s2.636943106000000,s157.282484497000013
010_1,s-4.202422968000000,s2.135360956000000,s-148.501622301999987
010_2,s-2.675074819000000,s1.023816271000000,s30.994483570000000
010_3,s-3.570122919000000,s2.209136525000000,s164.606722044999998
010_4,s-2.760254748000000,s1.728645526000000,s-27.486242089000001
010_5,s-3.736873112000000,s2.613732335000000,s108.096228687999997
010_6,s-3.362631836000000,s2.673901864000000,s-156.519062993000006
010_7,s-3.356109169000000,s1.698298936000000,s-155.359350451000012
010_8,s-4.186658629000000,s1.547702439000000,s156.554508892000001
010_9,s-3.855778674000000,s1.189151990000000,s-114.769329490999993
011_0,s-2.578829868000000,s3.874015026000000,s154.013223468000007
011_1,s-2.495299533000000,s2.474746578000000,s163.030650277999996
011_2,s-3.339412034000000,s3.886537685000000,s-153.189810980000004
011_3,s-3.831621435000000,s2.431947215000000,s-156.113302217000012
011_4,s-4.216490202000000,s2.576748605000000,s152.466686129000010
011_5,s-3.468256399000000,s3.358129937000000,s162.402124388000004
011_6,s-4.053049920000000,s3.837306734000000,s141.794650042999990
011_7,s-3.161753921000000,s3.010096433000000,s-154.268911123999999
011_8,s-4.095282289000000,s3.268868778000000,s-151.267402580999999
011_9,s-2.538866077000000,s3.246569931000000,s-154.356118132999995
011_10,s-3.187225407000000,s2.405980469000000,s156.373686394999993
012_0,s3.346928877020785,s3.470264319979954,s75.299246611656841
012_1,s3.837629953015044,s2.511699927977015,s61.855503083656828
