id,x,y,deg
001_0,s0.000000000,s0.000000000,s-45.000000000
002_0,s-2.596538273,s-0.961581177,s69.460622269
002_1,s-3.143349439,s-1.110618196,s149.528760849
003_0,s2.131192695,s1.274374441,s-93.240735644
003_1,s2.530862999,s1.696068008,s-54.522745368
003_2,s2.004268462,s1.731835734,s-34.445189805
004_0,s-1.072146855,s2.150867905,s-11.602811898
004_1,s-1.420564916,s2.728531768,s-2.300805932
004_2,s-1.477722471,s2.179909406,s34.113519779
004_3,s-0.967321451,s3.004348076,s-49.124052973
005_0,s1.930530696,s1.431356998,s-91.543353448
005_1,s2.438455939,s1.875319419,s-82.241347482
005_2,s1.888283824,s1.835770389,s-45.827021771
005_3,s2.352391413,s1.031945435,s-120.812434876
005_4,s2.794166638,s1.460471204,s-129.064594523
006_0,s-0.865735518,s2.241926322,s-16.983353448
006_1,s-1.158450747,s2.849716154,s-7.681347482
006_2,s-0.512060892,s2.066453042,s-76.028332311
006_3,s-1.266800887,s2.308870770,s28.732978229
006_4,s-0.368427202,s2.542227003,s-46.252434876
006_5,s-0.663873951,s3.082144500,s-54.504594523
007_0,s-0.268743917,s0.741152415,s37.270033091
007_1,s-1.082837569,s0.827869071,s50.410924719
007_2,s0.108012204,s0.968880607,s-17.801388540
007_3,s-0.706646661,s0.343738846,s76.768701150
007_4,s-0.215945488,s1.343200305,s9.287870307
007_5,s0.168714720,s0.333539780,s77.268393133
007_6,s-1.005593311,s1.306778298,s-29.017437093
008_0,s-0.014616358,s-0.037004890,s4.053871303
008_1,s-0.570352834,s0.517021061,s14.730392049
008_2,s0.301293984,s-0.398160380,s-48.568957723
008_3,s-0.866371234,s-0.255737494,s18.931006231
008_4,s0.534651005,s0.185483242,s-8.934836190
008_5,s-0.184327199,s-0.658931592,s23.883204909
008_6,s-0.143613179,s0.797007662,s-26.265091812
008_7,s-1.119336151,s0.795431725,s-26.008875011
009_0,s-0.004157704,s-0.039569096,s19.608807442
009_1,s-0.688108468,s0.345137463,s30.285328188
009_2,s0.517897906,s-0.706839081,s6.620099949
009_3,s-0.681585003,s-0.438254658,s33.019731892
009_4,s0.465329164,s0.322062880,s4.094623360
009_5,s0.049071083,s-0.749555895,s36.137373385
009_6,s-0.056625283,s0.758638561,s11.659437751
009_7,s-1.322017165,s0.593994599,s-17.220547284
009_8,s-0.496341884,s0.962843800,s41.040105753
010_0,s0.000000000,s0.000000000,s29.830138830
010_1,s-0.686443365,s0.398632581,s29.830138830
010_2,s0.585033770,s-0.438068596,s19.787985109
010_3,s-0.689308622,s-0.395252434,s29.830138830
010_4,s0.513322040,s0.370430068,s11.112390791
010_5,s-0.011994791,s-0.813784843,s27.921367378
010_6,s-0.044509304,s0.756505210,s11.204248393
010_7,s-1.376261583,s0.004080128,s-19.122821482
010_8,s-1.363283673,s-0.782665990,s29.830138830
010_9,s-0.563625282,s1.066789684,s43.223127384
011_0,s0.000000000,s0.000000000,s31.057499670
011_1,s-0.694824523,s0.383837609,s31.057499670
011_2,s0.601063701,s-0.425802835,s21.015345949
011_3,s-0.680684226,s-0.409926638,s31.057499670
011_4,s0.505269711,s0.381340360,s12.339751631
011_5,s0.005439110,s-0.813855062,s29.148728218
011_6,s-0.060703320,s0.755378262,s12.431609233
011_7,s0.364388158,s1.255289204,s56.661817415
011_8,s-1.376033221,s-0.025400125,s31.057499670
011_9,s-1.346206305,s-0.811687753,s-17.895460642
011_10,s-0.593539002,s1.062735503,s44.450488224
012_0,s0.000000000,s0.000000000,s30.000000000
012_1,s-0.688133815,s0.397294244,s30.000000000
012_2,s0.688133815,s-0.397294244,s30.000000000
012_3,s-0.688133815,s-0.397294244,s30.000000000
012_4,s0.688133815,s0.397294244,s30.000000000
012_5,s-0.000000000,s-0.794588487,s30.000000000
012_6,s0.000000000,s0.794588487,s30.000000000
012_7,s-0.688133815,s-1.191882731,s30.000000000
012_8,s0.688133815,s-1.191882731,s30.000000000
012_9,s1.376267631,s-0.794588487,s30.000000000
012_10,s1.376267631,s-0.000000000,s30.000000000
012_11,s1.376267631,s0.794588487,s30.000000000
013_0,s0.000000000,s0.000000000,s29.921868056
013_1,s-0.687591401,s0.398232255,s29.921868056
013_2,s0.687591401,s-0.398232255,s29.921868056
013_3,s-0.688674949,s-0.396355495,s29.921868056
013_4,s0.512728332,s0.371251409,s11.204120017
013_5,s-0.001083548,s-0.794587748,s29.921868056
013_6,s-0.002834042,s0.785047616,s25.612241177
013_7,s-0.706479553,s-1.180007796,s29.921868056
013_8,s0.427954092,s1.270663691,s58.267356361
013_9,s-1.241577846,s0.727525242,s70.776882269
013_10,s-1.376266351,s0.001876760,s29.921868056
013_11,s-1.362028896,s-0.784847571,s-19.031092256
013_12,s-1.368811126,s1.280039693,s59.053577916
014_0,s0.000000000,s0.000000000,s30.448839577
014_1,s-0.691224964,s0.391891455,s30.448839577
014_2,s0.691224964,s-0.391891455,s30.448839577
014_3,s-0.685000437,s-0.402672652,s30.448839577
014_4,s0.509292151,s0.375951402,s11.731091538
014_5,s0.006224527,s-0.794564106,s30.448839577
014_6,s-0.010054208,s0.784988346,s26.139212698
014_7,s-0.695596836,s-1.186455562,s30.448839577
014_8,s0.416531314,s1.281658518,s58.794327882
014_9,s0.697449491,s-1.186455562,s30.448839577
014_10,s-1.248216570,s0.716075358,s71.303853790
014_11,s-1.376225402,s-0.010781197,s30.448839577
014_12,s-1.354752842,s-0.797341308,s-18.504120735
014_13,s-1.380526087,s1.267396243,s59.580549437
015_0,s0.000000000,s0.000000000,s30.448839577
015_1,s-0.691224964,s0.391891455,s30.448839577
015_2,s0.691224964,s-0.391891455,s30.448839577
015_3,s-0.685000437,s-0.402672652,s30.448839577
015_4,s0.509292151,s0.375951402,s11.731091538
015_5,s0.006224527,s-0.794564106,s30.448839577
015_6,s-0.010054208,s0.784988346,s26.139212698
015_7,s-0.695596836,s-1.186455562,s30.448839577
015_8,s0.416531314,s1.281658518,s58.794327882
015_9,s-0.615419502,s0.939463422,s-9.799721669
015_10,s0.697449491,s-1.186455562,s30.448839577
015_11,s-1.248216570,s0.716075358,s71.303853790
015_12,s-1.376225402,s-0.010781197,s30.448839577
015_13,s-1.354752842,s-0.797341308,s-18.504120735
015_14,s-1.380526087,s1.267396243,s59.580549437
016_0,s0.000000000,s0.000000000,s119.730000000
016_1,s-0.400532575,s-0.686253976,s119.730000000
016_2,s0.400532575,s0.686253976,s119.730000000
016_3,s0.394047091,s-0.689998373,s119.730000000
016_4,s-0.369532343,s0.513968675,s101.012251961
016_5,s0.794579664,s-0.003744396,s119.730000000
016_6,s-0.785052704,s-0.000205119,s115.420373121
016_7,s1.177635375,s-0.710427111,s119.730000000
016_8,s-1.276331935,s0.432577948,s148.075488305
016_9,s-0.947110408,s-0.603584759,s79.481438754
016_10,s1.195112239,s0.682509580,s119.730000000
016_11,s-0.731678863,s-1.239134604,s160.585014213
016_12,s-0.006485484,s-1.376252350,s119.730000000
016_13,s0.780282113,s-1.364649496,s70.777039688
016_14,s-1.284616285,s-1.364516952,s148.861709860
016_15,s0.418985819,s-1.674376425,s126.436298502
017_0,s0.000000000,s0.000000000,s-56.377733604
017_1,s0.353025377,s0.711859499,s-56.377733604
017_2,s-0.353025377,s-0.711859499,s-56.377733604
017_3,s-0.439975723,s0.661658694,s-56.377733604
017_4,s0.403568513,s-0.487699094,s-75.095481643
017_5,s-0.793001099,s-0.050200805,s-56.377733604
017_6,s0.783228018,s0.053494515,s-60.687360483
017_7,s-1.223143337,s0.628849850,s-56.377733604
017_8,s1.302751674,s-0.344941975,s-28.032245299
017_9,s0.903954139,s0.666483008,s-96.626294850
017_10,s-1.146026476,s-0.762060305,s-56.377733604
017_11,s0.645877977,s1.285943297,s-15.522719391
017_12,s-0.086950345,s1.373518194,s-56.377733604
017_13,s-0.871115615,s1.308535826,s-105.330693916
017_14,s0.788101473,s-1.006690820,s-27.548639209
017_15,s1.189028989,s1.448570183,s-27.246023744
017_16,s-0.531677127,s1.642073373,s-49.671435102
018_0,s0.000000000,s0.000000000,s30.000000000
018_1,s-0.688133815,s0.397294244,s30.000000000
018_2,s0.688133815,s-0.397294244,s30.000000000
018_3,s-0.688133815,s-0.397294244,s30.000000000
018_4,s0.688133815,s0.397294244,s30.000000000
018_5,s-0.000000000,s-0.794588487,s30.000000000
018_6,s0.000000000,s0.794588487,s30.000000000
018_7,s-0.688133815,s-1.191882731,s30.000000000
018_8,s0.688133815,s-1.191882731,s30.000000000
018_9,s-1.376267631,s0.794588487,s30.000000000
018_10,s1.376267631,s-0.794588487,s30.000000000
018_11,s-1.376267631,s0.000000000,s30.000000000
018_12,s1.376267631,s-0.000000000,s30.000000000
018_13,s-1.376267631,s-0.794588487,s30.000000000
018_14,s1.376267631,s0.794588487,s30.000000000
018_15,s-0.000000000,s-1.589176974,s30.000000000
018_16,s-1.376267631,s-1.589176974,s30.000000000
018_17,s1.376267631,s-1.589176974,s30.000000000
019_0,s0.000000000,s0.000000000,s29.893397514
019_1,s-0.687393433,s0.398573873,s29.893397514
019_2,s0.687393433,s-0.398573873,s29.893397514
019_3,s-0.688871815,s-0.396013240,s29.893397514
019_4,s0.542882478,s0.379288253,s13.333625503
019_5,s-0.001478382,s-0.794587112,s29.893397514
019_6,s-0.002443948,s0.785048927,s25.583770635
019_7,s-0.707065818,s-1.179656597,s29.893397514
