id,x,y,deg
001_0,s-10.344160704,s-1.666855016,s45.002154592
002_0,s0.691460130,s-10.454757252,s129.632154592
002_1,s0.071552900,s-10.546237561,s19.434619796
003_0,s-0.505224968,s-10.306998506,s149.976683324
003_1,s0.019583273,s-10.258205075,s52.077747969
003_2,s0.114547465,s-10.642648578,s114.295804675
004_0,s0.369376852,s-10.736577669,s-170.655404208
004_1,s-0.002391266,s-10.721625017,s109.793861103
004_2,s0.119905918,s-10.327169809,s66.370622269
004_3,s-0.032287445,s-11.266598188,s107.285133012
005_0,s-10.817714775,s-1.336124409,s-46.709062687
005_1,s-10.683634432,s-0.764799907,s-1.256554910
005_2,s-10.142388384,s-0.831747981,s-32.205371831
005_3,s-9.807679822,s-1.269339392,s-29.182519977
005_4,s-10.374013817,s-0.276557590,s-65.973889024
006_0,s1.528255953,s-10.441135250,s66.953446079
006_1,s1.465055896,s-9.962411465,s36.238836148
006_2,s0.701971977,s-10.419544673,s92.552461006
006_3,s0.868183871,s-9.809246289,s61.603644085
006_4,s1.404933202,s-9.227505784,s76.714589154
006_5,s0.207191942,s-10.038954125,s11.953625209
007_0,s9.665057422,s-0.280741844,s-166.810681079
007_1,s9.539408388,s0.160785260,s143.653419677
007_2,s9.039098292,s0.341363363,s118.288611740
007_3,s9.282805945,s-0.585286617,s162.808090100
007_4,s8.794351425,s-0.229527055,s143.653419677
007_5,s8.335515485,s0.435312830,s159.964813293
007_6,s8.853651937,s-0.971713894,s103.198509621
008_0,s0.752031731,s-9.326085988,s156.689321339
008_1,s-0.273728360,s-9.557432622,s86.796354115
008_2,s0.181774242,s-9.507763815,s41.929270586
008_3,s0.571005201,s-9.045080709,s27.476651526
008_4,s-0.490141507,s-9.093672670,s61.083941009
008_5,s-0.049756424,s-8.696226345,s41.929270586
008_6,s0.743628385,s-8.337202165,s57.050789195
008_7,s-0.732261832,s-8.597074480,s-0.332315287
009_0,s-9.555138785,s-1.012211265,s-4.886348382
009_1,s-9.618868577,s0.390784865,s-31.944258479
009_2,s-9.536989974,s-0.106653081,s-59.391365278
009_3,s-9.097734726,s-0.746747848,s-59.391365278
009_4,s-9.031022096,s0.467167374,s-39.969576822
009_5,s-8.710314375,s-0.054354675,s-59.391365278
009_6,s-8.399927414,s-0.672906828,s-132.938076083
009_7,s-8.214390042,s-0.350280874,s-46.082222597
009_8,s-8.481802897,s0.610650373,s-82.449041322
010_0,s2.354474386,s-9.514286665,s62.419420610
010_1,s0.689290419,s-9.740984248,s47.147655547
010_2,s1.845126443,s-9.889949725,s17.767125123
010_3,s1.315954438,s-9.446365257,s37.898638503
010_4,s1.895137280,s-8.929438067,s37.898638503
010_5,s0.684109055,s-9.022884037,s57.320426959
010_6,s1.159180630,s-8.633008236,s37.898638503
010_7,s2.063883457,s-8.466600179,s4.552316804
010_8,s1.549621514,s-8.187376751,s36.855298374
010_9,s0.481037350,s-8.477209839,s14.840962459
011_0,s10.151751427,s0.249494450,s124.268521468
011_1,s9.649564246,s-1.499268242,s120.739522955
011_2,s10.115445812,s-0.406420752,s91.961828380
011_3,s9.502037500,s-0.822700431,s115.019504424
011_4,s9.398470311,s0.087277401,s11.418446897
011_5,s9.127211966,s-0.142867876,s115.019504424
011_6,s8.948374788,s-1.344258228,s134.441292880
011_7,s8.674198447,s-0.794236886,s115.019504424
011_8,s8.767922384,s0.258862115,s94.887991044
011_9,s8.326805332,s-0.314289465,s113.976164295
011_10,s8.371164736,s-1.420593030,s81.673182725
012_0,s0.545049547,s-10.281447627,s35.877373385
012_1,s1.656371010,s-10.018819272,s38.719242854
012_2,s-0.133379595,s-9.823641309,s42.570049482
012_3,s1.089592518,s-10.118391506,s23.372663330
012_4,s0.504362940,s-9.524241212,s32.999224323
012_5,s1.393642134,s-9.297838004,s-70.601833204
012_6,s1.125578610,s-9.058668903,s32.999224323
