id,x,y,deg
001_0,s0.523706616,s0.305046565,s-45.003477982
002_0,s0.457963860,s0.396977493,s-34.303477982
002_1,s0.000000000,s0.000000000,s-0.550000000
003_0,s0.549729279,s-0.255185709,s-100.124100251
003_1,s0.000000000,s0.000000000,s-66.370622269
003_2,s0.400377101,s-0.915147659,s-66.370622269
004_0,s-0.193118504,s0.574480000,s33.357448997
004_1,s0.000000000,s0.000000000,s67.110926979
004_2,s0.388519611,s0.920244300,s67.110926979
004_3,s0.520784059,s-0.053135986,s33.357448997
005_0,s0.474933617,s-0.376510407,s-113.629377731
005_1,s0.000000000,s0.000000000,s-79.875899749
005_2,s0.175587097,s-0.983344412,s-79.875899749
005_3,s-0.465651215,s-0.239182808,s-113.629377731
005_4,s-0.290064118,s-1.222527220,s-113.629377731
006_0,s0.577057264,s-0.185275311,s-93.023477982
006_1,s0.000000000,s0.000000000,s-59.270000000
006_2,s0.510429912,s-0.858637505,s-59.270000000
006_3,s-0.351682861,s-0.387761054,s-93.023477982
006_4,s0.158747052,s-1.246398560,s-93.023477982
006_5,s-0.418310212,s-1.061123249,s-59.270000000
007_0,s0.000000000,s0.000000000,s-0.630000000
007_1,s0.458517698,s0.396337668,s-34.383477982
007_2,s0.148094169,s-0.502103163,s-34.383477982
007_3,s-0.540319842,s0.407320903,s-34.383477982
007_4,s-0.850743370,s-0.491119928,s-34.383477982
007_5,s-0.310423528,s-0.898440831,s-0.630000000
007_6,s0.688414011,s-0.909424066,s-0.630000000
008_0,s-0.342572613,s0.499966030,s49.195367891
008_1,s0.000000000,s0.000000000,s82.948845873
008_2,s0.122620162,s0.991343208,s82.948845873
008_3,s0.515515552,s0.091012004,s49.195367891
008_4,s0.638135714,s1.082355213,s49.195367891
008_5,s0.980708327,s0.582389183,s82.948845873
008_6,s0.858088165,s-0.408954026,s82.948845873
008_7,s-0.465192775,s-0.491377179,s49.195367891
009_0,s-0.142811922,s0.589004908,s28.405840897
009_1,s0.000000000,s0.000000000,s62.159318879
009_2,s0.466499906,s0.883275098,s62.159318879
