n,s_n,term
1,0.813172798,0.661250000000
17,3.031559358,0.540608949385
29,3.927515367,0.531909550393
40,4.595475470,0.527959869872
28,3.839039064,0.526365033342
27,3.769174656,0.526173244105
16,2.892757302,0.523002800675
20,3.233003145,0.522615466815
38,4.452986180,0.521818050476
39,4.508219621,0.521129337283
22,3.378748381,0.518906391894
19,3.137973063,0.518256576107
41,4.598815333,0.515831767402
13,2.585592650,0.514253027231
11,2.375861885,0.513156336266
30,3.918955745,0.511940471132
26,3.647030493,0.511570439064
14,2.675460258,0.511291970681
12,2.473267503,0.509754345267
35,4.205303667,0.505273683817
32,4.017038555,0.504268710958
60,5.500385833,0.504237405165
31,3.953478672,0.504193342181
21,3.253746074,0.504136357960
18,3.009490969,0.503168660817
36,4.242253654,0.499908779549
33,4.054885168,0.498245264478
23,3.384298337,0.497977183946
37,4.292109286,0.497897354787
51,5.037018484,0.497481474594
52,5.083066895,0.496876328059
46,4.774532868,0.495568785042
43,4.611187780,0.494489598659
15,2.716549400,0.491976042990
61,5.474694220,0.491348800111
34,4.086747125,0.491220648994
62,5.512991804,0.490210945724
53,5.085800931,0.488025870058
42,4.525738200,0.487673958376
47,4.774532868,0.485024768339
87,6.494715389,0.484842850386
66,5.655550164,0.484624964457
63,5.519344101,0.483542211119
44,4.610961230,0.483203715023
88,6.501963565,0.480403752324
68,5.712278341,0.479854762471
59,5.318977336,0.479517286454
54,5.085572864,0.478945395460
56,5.175649075,0.478345417008
24,3.384859527,0.477386417397
67,5.655489882,0.477381579135
64,5.525406473,0.477033073258
9,2.071850277,0.476951507725
111,7.270694639,0.476243248093
83,6.286496063,0.476144972957
57,5.208804268,0.475993717514
89,6.505730195,0.475556464825
25,3.446586058,0.475158218255
48,4.774532868,0.474920085665
85,6.346470125,0.473855094619
69,5.713134266,0.473042074556
65,5.544606729,0.472964058091
45,4.610822695,0.472437465049
112,7.270694639,0.471991076235
86,6.365611464,0.471174526798
84,6.288495556,0.470775909085
118,7.450876345,0.470470833119
90,6.505068490,0.470176845099
55,5.084967732,0.470125397063
150,8.395227372,0.469865617466
73,5.847200104,0.468352726834
58,5.210340587,0.468062914390
113,7.270694639,0.467814164056
119,7.460130732,0.467676895299
151,8.402945307,0.467612515441
121,7.520126036,0.467374343721
10,2.160597314,0.466818075393
92,6.550519608,0.466405512353
70,5.713567178,0.466354998579
8,1.929927292,0.465577419225
49,4.774532868,0.465227839019
91,6.505743654,0.465106598801
78,6.016764255,0.464121180722
152,8.398889474,0.464087792076
120,7.462084081,0.464022490283
114,7.270694639,0.463710531038
122,7.519754516,0.463497606343
149,8.310044760,0.463468751121
141,8.078965439,0.462905550059
6,1.665432408,0.462277517563
74,5.847200104,0.462023635931
153,8.402508032,0.461451903444
117,7.346883242,0.461339259524
93,6.549908734,0.461304348660
79,6.031244687,0.460454588276
106,6.985696091,0.460376885609
123,7.521715404,0.459969126924
71,5.713848197,0.459831848188
142,8.080116453,0.459776633013
115,7.270694639,0.459678265550
103,6.870368363,0.458271470367
125,7.568040064,0.458201843282
164,8.668039323,0.458139668973
154,8.399060878,0.458079374230
7,1.788654975,0.457040945551
143,8.083317044,0.456923177815
94,6.550275815,0.456448013343
124,7.519825354,0.456030430222
50,4.774532868,0.455923282238
75,5.847200104,0.455863320785
116,7.271679727,0.455839017731
107,6.982810929,0.455697649242
165,8.668486101,0.455410007817
144,8.096673928,0.455250893669
155,8.399421430,0.455163099083
80,6.031579299,0.454749360493
126,7.568450534,0.454614630838
104,6.871461661,0.454009474645
136,7.856836510,0.453896176030
98,6.668148323,0.453716347557
72,5.714281206,0.453514023670
174,8.879684414,0.453153995978
166,8.667758423,0.452590578831
145,8.098694523,0.452336917029
156,8.398738959,0.452171898080
95,6.550347323,0.451653158459
108,6.982955882,0.451496970821
176,8.912591075,0.451331134522
180,9.011625752,0.451163326117
2,0.949731242,0.450994715763
127,7.567768907,0.450953749841
175,8.879684414,0.450564544573
109,7.006315171,0.450352773218
137,7.854580396,0.450324329872
167,8.668165299,0.449922692559
76,5.847200104,0.449865119195
128,7.587205748,0.449731961474
105,6.870159626,0.449515174202
157,8.399233982,0.449344786519
81,6.032052996,0.449205720320
99,6.668148323,0.449133354147
146,8.097484070,0.449104440111
100,6.701012411,0.449035673283
140,7.927843672,0.448933609192
181,9.013423028,0.448849694344
177,8.912591075,0.448781241107
5,1.497798944,0.448680335391
148,8.148244739,0.448607380586
168,8.672572981,0.447699536413
138,7.854936109,0.447101603418
96,6.550388037,0.446953994135
158,8.400458801,0.446631063711
178,8.912591075,0.446259998180
182,9.011756372,0.446218422543
129,7.586924175,0.446212546073
147,8.098129748,0.446120444951
192,9.254816888,0.446102268863
110,7.002741922,0.445803585741
169,8.670699831,0.444858198614
101,6.699927886,0.444445877956
77,5.847200104,0.444022715050
159,8.400703963,0.443847969013
139,7.854475766,0.443833018374
179,8.912591075,0.443766925564
183,9.011368163,0.443741836960
82,6.031813149,0.443692315412
193,9.252726971,0.443590447622
170,8.677639642,0.442949586754
130,7.588168697,0.442925416771
97,6.550400295,0.442347876561
194,9.254545129,0.441477348124
184,9.011414761,0.441334760811
160,8.400907488,0.441095291381
171,8.679030616,0.440500423540
102,6.700325438,0.440140793834
131,7.586345159,0.439333075402
185,9.013065502,0.439109998583
195,9.252821175,0.439049741989
4,1.324566249,0.438618937255
