id,x,y,deg
200_0,s0.000000193,s0.000361460,s30.000000000
200_1,s0.444835285,s0.155950849,s-12.829495120
200_2,s0.031275258,s-0.551577471,s-46.709957053
200_3,s-0.556860036,s-0.421787309,s-12.829495120
200_4,s0.031275258,s0.603898843,s-46.709957053
200_5,s-0.556860036,s0.733689005,s-12.829495120
200_6,s-0.970420065,s0.026160686,s-46.709957053
200_7,s0.444835285,s-0.999525465,s-12.829495120
200_8,s-1.001695128,s-0.577376697,s30.000000000
200_9,s-1.001695128,s0.578099617,s30.000000000
200_10,s1.001695514,s-0.577376697,s30.000000000
200_11,s1.001695514,s0.578099617,s30.000000000
200_12,s1.032970579,s0.026160686,s-46.709957053
200_13,s-0.970420065,s-1.129315628,s-46.709957053
200_14,s1.032970579,s-1.129315628,s-46.709957053
200_15,s0.000000193,s-1.155114853,s30.000000000
200_16,s0.000000193,s1.155837773,s30.000000000
200_17,s1.032970579,s1.181636999,s-46.709957053
200_18,s-0.970420065,s1.181636999,s-46.709957053
200_19,s0.444835285,s1.311427161,s-12.829495120
200_20,s1.446530608,s-0.421787309,s-12.829495120
200_21,s1.446530608,s0.733689005,s-12.829495120
200_22,s-1.558555357,s1.311427161,s-12.829495120
200_23,s-1.558555357,s0.155950849,s-12.829495120
200_24,s-1.558555357,s-0.999525465,s-12.829495120
200_25,s-0.556860036,s-1.577263622,s-12.829495120
200_26,s1.446530608,s-1.577263622,s-12.829495120
200_27,s0.031275258,s-1.707053783,s-46.709957053
200_28,s-1.001695128,s-1.732853010,s30.000000000
200_29,s-1.001695128,s1.733575930,s30.000000000
200_30,s1.001695514,s-1.732853010,s30.000000000
200_31,s1.001695514,s1.733575930,s30.000000000
200_32,s0.031275258,s1.759375156,s-46.709957053
200_33,s1.446530608,s1.889165319,s-12.829495120
200_34,s-0.556860036,s1.889165319,s-12.829495120
200_35,s-1.972115386,s0.603898843,s-46.709957053
200_36,s-1.972115386,s1.759375156,s-46.709957053
200_37,s-1.972115386,s-0.551577471,s-46.709957053
200_38,s-1.972115386,s-1.707053783,s-46.709957053
200_39,s-2.003390451,s0.000361460,s30.000000000
200_40,s2.003390837,s0.000361460,s30.000000000
200_41,s-2.003390451,s-1.155114853,s30.000000000
200_42,s-2.003390451,s1.155837773,s30.000000000
200_43,s2.003390837,s-1.155114853,s30.000000000
200_44,s2.003390837,s1.155837773,s30.000000000
200_45,s2.034665900,s-1.707053783,s-46.709957053
200_46,s2.034665900,s-0.551577471,s-46.709957053
200_47,s2.034665900,s0.603898843,s-46.709957053
200_48,s2.034665900,s1.759375156,s-46.709957053
200_49,s-1.558555357,s-2.155001778,s-12.829495120
200_50,s0.444835285,s-2.155001778,s-12.829495120
200_51,s-0.970420065,s-2.284791941,s-46.709957053
200_52,s1.032970579,s-2.284791941,s-46.709957053
200_53,s0.000000193,s-2.310591167,s30.000000000
200_54,s0.000000193,s2.311314086,s30.000000000
200_55,s-2.003390451,s2.311314086,s30.000000000
200_56,s2.003390837,s-2.310591167,s30.000000000
200_57,s-2.003390451,s-2.310591167,s30.000000000
200_58,s2.003390837,s2.311314086,s30.000000000
200_59,s-0.970420065,s2.337113313,s-46.709957053
200_60,s1.032970579,s2.337113313,s-46.709957053
200_61,s2.448225929,s-0.999525465,s-12.829495120
200_62,s2.448225929,s-2.155001778,s-12.829495120
200_63,s2.448225929,s0.155950849,s-12.829495120
200_64,s2.448225929,s1.311427161,s-12.829495120
200_65,s0.444835285,s2.466903475,s-12.829495120
200_66,s2.448225929,s2.466903475,s-12.829495120
200_67,s-1.558555357,s2.466903475,s-12.829495120
200_68,s-2.560250679,s1.889165319,s-12.829495120
200_69,s-2.560250679,s-0.421787309,s-12.829495120
200_70,s-2.560250679,s0.733689005,s-12.829495120
200_71,s-2.560250679,s-1.577263622,s-12.829495120
200_72,s-0.556860036,s-2.732739936,s-12.829495120
200_73,s-2.560250679,s-2.732739936,s-12.829495120
200_74,s1.446530608,s-2.732739936,s-12.829495120
200_75,s-1.972115386,s-2.862530097,s-46.709957053
200_76,s0.031275258,s-2.862530097,s-46.709957053
200_77,s2.034665900,s-2.862530097,s-46.709957053
200_78,s-1.001695128,s-2.888329324,s30.000000000
200_79,s-1.001695128,s2.889052244,s30.000000000
200_80,s1.001695514,s-2.888329324,s30.000000000
200_81,s1.001695514,s2.889052244,s30.000000000
200_82,s2.034665900,s2.914851469,s-46.709957053
200_83,s0.031275258,s2.914851469,s-46.709957053
200_84,s-1.972115386,s2.914851469,s-46.709957053
200_85,s-2.973810707,s1.181636999,s-46.709957053
200_86,s-2.973810707,s2.337113313,s-46.709957053
200_87,s-2.973810707,s0.026160686,s-46.709957053
200_88,s-2.973810707,s-1.129315628,s-46.709957053
200_89,s-2.973810707,s-2.284791941,s-46.709957053
200_90,s-3.005085772,s0.578099617,s30.000000000
200_91,s3.005086158,s-0.577376697,s30.000000000
200_92,s-3.005085772,s1.733575930,s30.000000000
200_93,s3.005086158,s-1.732853010,s30.000000000
200_94,s-3.005085772,s2.889052244,s30.000000000
200_95,s3.005086158,s-2.888329324,s30.000000000
200_96,s-3.005085772,s-0.577376697,s30.000000000
200_97,s3.005086158,s0.578099617,s30.000000000
200_98,s-3.005085772,s-1.732853010,s30.000000000
200_99,s3.005086158,s1.733575930,s30.000000000
200_100,s-3.005085772,s-2.888329324,s30.000000000
200_101,s3.005086158,s2.889052244,s30.000000000
200_102,s3.036361223,s-1.129315628,s-46.709957053
200_103,s3.036361223,s-2.284791941,s-46.709957053
200_104,s3.036361223,s0.026160686,s-46.709957053
200_105,s3.036361223,s1.181636999,s-46.709957053
200_106,s3.036361223,s2.337113313,s-46.709957053
200_107,s1.446530608,s3.044641632,s-12.829495120
200_108,s-0.556860036,s3.044641632,s-12.829495120
200_109,s-2.560250679,s3.044641632,s-12.829495120
200_110,s-1.558555357,s-3.310478091,s-12.829495120
200_111,s0.444835285,s-3.310478091,s-12.829495120
200_112,s2.448225929,s-3.310478091,s-12.829495120
200_113,s-0.970420065,s-3.440268253,s-46.709957053
200_114,s1.032970579,s-3.440268253,s-46.709957053
200_115,s-2.973810707,s-3.440268253,s-46.709957053
200_116,s3.036361223,s-3.440268253,s-46.709957053
200_117,s3.449921250,s-0.421787309,s-12.829495120
200_118,s3.449921250,s-1.577263622,s-12.829495120
200_119,s3.449921250,s-2.732739936,s-12.829495120
200_120,s3.449921250,s0.733689005,s-12.829495120
200_121,s3.449921250,s1.889165319,s-12.829495120
200_122,s3.449921250,s3.044641632,s-12.829495120
200_123,s0.000000193,s-3.466067479,s30.000000000
200_124,s0.000000193,s3.466790399,s30.000000000
200_125,s-2.003390451,s-3.466067479,s30.000000000
200_126,s-2.003390451,s3.466790399,s30.000000000
200_127,s2.003390837,s-3.466067479,s30.000000000
200_128,s2.003390837,s3.466790399,s30.000000000
200_129,s3.036361223,s3.492589626,s-46.709957053
200_130,s-0.970420065,s3.492589626,s-46.709957053
200_131,s1.032970579,s3.492589626,s-46.709957053
200_132,s-2.973810707,s3.492589626,s-46.709957053
200_133,s-3.561946001,s1.311427161,s-12.829495120
200_134,s-3.561946001,s2.466903475,s-12.829495120
200_135,s-3.561946001,s0.155950849,s-12.829495120
200_136,s-3.561946001,s-0.999525465,s-12.829495120
200_137,s-3.561946001,s-2.155001778,s-12.829495120
200_138,s-3.561946001,s-3.310478091,s-12.829495120
200_139,s0.444835285,s3.622379788,s-12.829495120
200_140,s2.448225929,s3.622379788,s-12.829495120
200_141,s-1.558555357,s3.622379788,s-12.829495120
200_142,s-3.561946001,s3.622379788,s-12.829495120
200_143,s-0.556860036,s-3.888216248,s-12.829495120
200_144,s-2.560250679,s-3.888216248,s-12.829495120
200_145,s1.446530608,s-3.888216248,s-12.829495120
200_146,s3.449921250,s-3.888216248,s-12.829495120
200_147,s-3.975506029,s0.603898843,s-46.709957053
200_148,s-3.975506029,s1.759375156,s-46.709957053
200_149,s-3.975506029,s2.914851469,s-46.709957053
200_150,s-3.975506029,s-0.551577471,s-46.709957053
200_151,s-3.975506029,s-1.707053783,s-46.709957053
200_152,s-3.975506029,s-2.862530097,s-46.709957053
200_153,s-4.006781093,s3.466790399,s30.000000000
200_154,s4.006781479,s-3.466067479,s30.000000000
200_155,s-4.006781093,s0.000361460,s30.000000000
200_156,s4.006781479,s0.000361460,s30.000000000
