id,x,y,deg
001_0,s10.555702492,s11.129955135,s134.995336301
002_0,s0.302022691,s0.409913027,s-113.870650031
002_1,s0.202507220,s0.806260026,s-67.958925618
003_0,s-0.657315986,s0.214080598,s149.120825464
003_1,s0.026671770,s-0.115821860,s95.782077173
003_2,s-0.168718777,s0.358722409,s54.033264569
004_0,s-0.063981284,s-0.270900552,s-113.777449960
004_1,s-0.441317120,s-0.005780808,s-67.208762973
004_2,s-0.147343941,s-0.827562362,s-115.204818807
004_3,s-0.467006456,s-0.329288788,s179.185810864
005_0,s-0.306239124,s-0.366214220,s-0.442485540
005_1,s-0.874316225,s-0.996487173,s-38.049054961
005_2,s-0.757178475,s-0.339750339,s30.036144514
005_3,s-0.196299465,s-0.831006972,s-50.138240004
005_4,s0.063727077,s-0.094936766,s-39.742592216
006_0,s0.087393488,s3.511754994,s163.167720003
006_1,s-0.355270607,s3.144127798,s122.616735543
006_2,s-0.907095300,s3.403090763,s123.259921560
006_3,s0.068112842,s3.931291945,s-12.840534246
006_4,s-0.257733730,s3.733831439,s94.792004214
006_5,s-0.690590081,s4.123128694,s83.473739852
007_0,s1.288908248,s1.552326191,s-19.545131532
007_1,s1.595980237,s2.884496039,s45.105797429
007_2,s1.263322580,s2.292099659,s13.957223483
007_3,s2.235176272,s1.738465349,s-86.915745120
007_4,s1.726921357,s2.356209057,s-25.901488947
007_5,s2.254094217,s2.602789795,s-57.617988517
007_6,s1.787836991,s1.853151105,s-50.879614452
008_0,s-3.776781960,s0.655225383,s82.817371183
008_1,s-3.145050264,s0.175297576,s82.817371183
008_2,s-4.359558816,s0.439436660,s123.893830163
008_3,s-3.258339538,s0.663057973,s35.622131130
008_4,s-4.500016195,s0.971057941,s63.614175014
008_5,s-3.912250765,s-0.136683544,s72.847405947
008_6,s-4.005417713,s1.049385418,s37.713250579
008_7,s-3.237222794,s-0.273029606,s112.039377731
009_0,s0.096972207,s0.792177777,s-5.346030085
009_1,s-0.363180874,s0.147602885,s-5.346030085
009_2,s-0.190751600,s1.392268524,s21.661959359
009_3,s0.282630176,s0.174162858,s-23.499613874
009_4,s0.370064568,s1.532110423,s-16.080686589
009_5,s-0.557938608,s0.863854412,s62.191967053
009_6,s0.488416274,s1.040690834,s-49.167757395
009_7,s-0.792384990,s0.162861887,s35.217626892
009_8,s-0.842198201,s1.368427001,s-7.609184477
010_0,s0.021528234,s0.024145201,s-0.757524128
010_1,s-0.384626063,s-0.658334812,s-0.757524128
010_2,s-0.360487555,s0.730898433,s-0.757524128
010_3,s0.244745073,s-0.663206904,s41.456125289
010_4,s0.241945712,s0.776179108,s-12.857519610
010_5,s-0.772717392,s0.035371477,s-0.757524128
010_6,s0.559037359,s0.139248693,s-13.703034222
010_7,s-0.848598950,s-0.602648843,s28.127564936
010_8,s-0.984566086,s0.784271310,s15.244798932
010_9,s0.797777302,s-0.369513778,s60.977729960
011_0,s0.000000000,s0.000000000,s89.027418585
011_1,s0.751773366,s-0.391065186,s92.139758816
011_2,s-0.694431281,s-0.385364084,s89.027418585
011_3,s0.694431281,s0.385364084,s89.027418585
011_4,s-0.822986351,s0.226178500,s94.936023017
011_5,s-0.013480555,s-0.794077173,s89.027418585
011_6,s0.013480555,s0.794077173,s89.027418585
011_7,s0.507183239,s-0.781910169,s141.749850538
011_8,s-0.995501728,s-0.872902258,s120.129653783
011_9,s0.757909063,s0.984967899,s67.518242220
011_10,s-0.952180444,s0.808162329,s51.298907013
012_0,s0.000158692,s-0.000143581,s0.085871997
012_1,s-0.396064525,s-0.688384466,s0.085871997
012_2,s-0.374114638,s0.686159588,s8.143296764
012_3,s0.398126173,s-0.687194173,s0.085871997
012_4,s0.375419718,s0.685075929,s-7.575730232
012_5,s-0.794190698,s-0.001190293,s0.085871997
012_6,s0.794190698,s0.001190293,s0.085871997
012_7,s-1.127199285,s-0.451366214,s22.098911818
012_8,s-0.811629362,s0.916378811,s57.427145855
012_9,s0.713957132,s-0.965388157,s-52.639355412
012_10,s1.041086710,s0.726546677,s-26.223974927
012_11,s0.341554672,s-1.183080617,s51.788559422
013_0,s-0.887804150,s0.408297536,s50.386620307
013_1,s-0.693137200,s-0.386145648,s44.265959178
013_2,s-1.602939645,s0.726237377,s62.944628285
013_3,s-0.188295264,s-0.010110928,s43.125835115
013_4,s-0.501692847,s1.069774485,s45.422147721
013_5,s-1.692679607,s-0.281949366,s84.680753909
013_6,s0.170779561,s1.216956785,s53.033482198
013_7,s-1.500801024,s0.261714792,s99.550518400
013_8,s-2.033845823,s1.359227380,s51.485924111
013_9,s-1.308126446,s1.669896540,s2.581161028
013_10,s-0.662710343,s1.814959771,s33.000674311
013_11,s-0.105406895,s0.444085782,s7.001448694
013_12,s-1.183519455,s1.183853423,s65.978509917
014_0,s-0.489936394,s0.795907945,s0.051566809
014_1,s-0.886413010,s0.107760742,s0.051566809
014_2,s-0.887651046,s1.483340369,s0.051566809
014_3,s0.330819644,s-0.553853471,s0.051566809
014_4,s0.396476616,s0.688147204,s0.051566809
014_5,s-1.284127662,s0.795193165,s0.051566809
014_6,s0.794191268,s0.000714781,s0.051566809
014_7,s-0.080604925,s0.108485978,s0.051566809
014_8,s-1.480411374,s1.564668925,s8.871310691
014_9,s0.794538694,s-0.548971538,s-39.046528439
014_10,s0.908902374,s0.909089368,s1.669709191
014_11,s-0.672271801,s-0.545226106,s-16.616561715
014_12,s-0.001237299,s1.374760230,s0.051566809
014_13,s-1.247452700,s-0.362827639,s17.362622309
015_0,s0.108122653,s-0.345075427,s87.631835684
015_1,s0.682171655,s-0.499315237,s131.216668382
015_2,s-0.595488223,s-0.713412251,s87.631835684
015_3,s-1.473472946,s-0.399442858,s105.634284869
015_4,s-0.664826864,s0.402965455,s87.631835684
015_5,s0.075306261,s-1.138588732,s87.631835684
015_6,s0.032816391,s0.793513306,s87.631835684
015_7,s-1.361086306,s-0.933842181,s139.111851611
015_8,s-0.867926112,s-1.258721502,s113.629377731
015_9,s0.542215157,s0.601661237,s28.633743030
015_10,s-0.504487803,s1.095115496,s46.387380155
015_11,s0.519175898,s0.110458954,s87.631835684
015_12,s-0.877334196,s-0.180397269,s74.194257238
015_13,s-1.522215755,s0.384227617,s56.767112556
015_14,s-0.957533550,s0.816124553,s56.326322850
016_0,s0.130354193,s0.445068681,s-1.610873317
016_1,s-0.333500418,s-0.545855120,s-0.011151666
016_2,s-0.362344946,s0.641510433,s1.758933363
016_3,s0.566886745,s-0.237992139,s-0.011151666
016_4,s0.564454030,s1.123208441,s5.553609777
016_5,s-0.791668575,s0.007684783,s-0.011151666
016_6,s0.974210385,s0.446911296,s-0.011151666
016_7,s-0.975525885,s-0.439298954,s30.006583964
016_8,s-1.035423071,s0.761555560,s32.396730371
016_9,s1.039285311,s-0.192525178,s-158.767597493
016_10,s0.817670524,s1.632143210,s-55.691240776
016_11,s0.249241057,s-0.897301621,s8.056878520
016_12,s0.017560358,s1.296077947,s-3.798001696
016_13,s-0.914003662,s-0.904244697,s62.108429085
016_14,s-0.838679192,s1.180474004,s-15.991378375
016_15,s0.932141595,s-0.999987406,s20.707038690
017_0,s0.000000000,s0.000000000,s0.191628183
017_1,s-0.394793235,s-0.689114347,s0.191628183
017_2,s-0.399393913,s0.686458144,s0.191628183
017_3,s0.399393913,s-0.686458144,s0.191628183
017_4,s0.394793235,s0.689114347,s0.191628183
017_5,s-0.794187148,s-0.002656203,s0.191628183
017_6,s0.794187148,s0.002656203,s0.191628183
017_7,s-1.282274087,s-0.996219676,s-4.330652130
017_8,s-1.022830758,s0.733376802,s16.002251115
017_9,s1.074933655,s-0.595461007,s-18.830017674
017_10,s1.167815680,s0.376861432,s-52.458773926
017_11,s0.025945167,s-1.375169257,s1.995059546
017_12,s0.102663677,s1.281822834,s34.990570033
017_13,s-0.789589210,s-1.377409301,s0.191628183
017_14,s-0.825195988,s1.253990612,s-34.872462407
017_15,s0.783206230,s-1.321292418,s-4.051168086
017_16,s0.888284548,s1.096846432,s11.374885887
018_0,s0.442776428,s0.735812083,s-105.825202449
018_1,s-0.188863453,s1.263519285,s-103.037313219
018_2,s1.141067056,s0.984589718,s-103.172737518
018_3,s-0.244797034,s-0.181968003,s-104.089094587
018_4,s0.717229562,s-0.467972993,s-93.288706044
018_5,s0.572684410,s1.532437794,s-103.261356374
018_6,s0.045207090,s-0.737797363,s-103.261356374
018_7,s-0.708873429,s1.895880787,s-90.646422095
