id,x,y,deg
001_0,s-0.475100311,s-0.324982693,s135.008616081
002_0,s-0.080405359,s-0.308140966,s-2.550000000
002_1,s0.352458483,s0.418583102,s-178.026066513
003_0,s0.490836509,s-0.300688506,s-110.856479140
003_1,s0.280433602,s-0.674976112,s-159.408300836
003_2,s0.923447612,s-0.806504522,s-141.991161734
004_0,s0.495345514,s-0.293201088,s-109.986479140
004_1,s0.290649963,s-0.670640259,s-158.538300836
004_2,s0.935586945,s-0.792390121,s-141.121161734
004_3,s1.149540989,s-0.083537694,s-158.538300836
005_0,s-0.066616177,s-0.311413169,s0.000000000
005_1,s0.333486204,s0.433849914,s-175.476066513
005_2,s0.243477925,s-0.521586576,s-144.341383919
005_3,s-0.706890275,s0.433849914,s-175.476066513
005_4,s-0.796898553,s-0.521586576,s-144.341383919
006_0,s0.243477925,s-0.521586576,s-144.341383919
006_1,s-0.138505602,s-0.717671203,s167.106794385
006_2,s0.325221654,s-1.182131935,s-175.476066513
006_3,s0.901870876,s-0.717671203,s167.106794385
006_4,s-0.074880727,s-1.927395018,s0.000000000
006_5,s0.965495751,s-1.927395018,s0.000000000
007_0,s0.531466317,s0.221082814,s-56.778017385
007_1,s0.711133831,s-0.168891775,s-105.329839081
007_2,s1.194889735,s0.274669906,s-87.912699979
007_3,s0.755364874,s0.870544048,s-105.329839081
007_4,s1.922468853,s-0.156755180,s87.563366534
007_5,s1.966699896,s0.882680643,s87.563366534
007_6,s1.239120778,s1.314105729,s-87.912699979
008_0,s0.531466317,s0.221082814,s-56.778017385
008_1,s0.711133831,s-0.168891775,s-105.329839081
008_2,s1.194889735,s0.274669906,s-87.912699979
008_3,s0.755364874,s0.870544048,s-105.329839081
008_4,s1.922468853,s-0.156755180,s87.563366534
008_5,s1.966699896,s0.882680643,s87.563366534
008_6,s1.239120778,s1.314105729,s-87.912699979
008_7,s0.575697360,s1.260518637,s-56.778017385
009_0,s0.243477925,s-0.521586576,s-144.341383919
009_1,s-0.138505602,s-0.717671203,s167.106794385
009_2,s0.325221654,s-1.182131935,s-175.476066513
009_3,s0.901870876,s-0.717671203,s167.106794385
009_4,s-0.074880727,s-1.927395018,s0.000000000
009_5,s0.965495751,s-1.927395018,s0.000000000
009_6,s1.365598132,s-1.182131935,s-175.476066513
009_7,s1.283854403,s-0.521586576,s-144.341383919
009_8,s0.235213375,s-2.137568425,s-144.341383919
010_0,s0.243477925,s-0.521586576,s-144.341383919
010_1,s-0.138505602,s-0.717671203,s167.106794385
010_2,s0.325221654,s-1.182131935,s-175.476066513
010_3,s0.901870876,s-0.717671203,s167.106794385
010_4,s-0.074880727,s-1.927395018,s0.000000000
010_5,s0.965495751,s-1.927395018,s0.000000000
010_6,s1.365598132,s-1.182131935,s-175.476066513
010_7,s1.283854403,s-0.521586576,s-144.341383919
010_8,s0.235213375,s-2.137568425,s-144.341383919
010_9,s1.275589853,s-2.137568425,s-144.341383919
011_0,s-0.439448769,s-0.371777939,s140.866877721
011_1,s-0.728871352,s-0.054610531,s92.315056025
011_2,s-1.055417261,s-0.623938652,s109.732195127
011_3,s-0.455951133,s-1.058551650,s92.315056025
011_4,s-1.879538433,s-0.433352000,s-74.791738360
011_5,s-1.606618215,s-1.437293120,s-74.791738360
011_6,s-0.782497043,s-1.627879771,s109.732195127
011_7,s-0.166528551,s-1.375719058,s140.866877721
011_8,s-2.001004824,s-0.787720635,s140.866877721
011_9,s-1.728084606,s-1.791661754,s140.866877721
011_10,s-0.183030915,s-2.062492769,s92.315056025
012_0,s0.236446529,s-0.524811485,s-145.111383919
012_1,s-0.148137613,s-0.715745070,s166.336794385
012_2,s0.309306051,s-1.186395719,s-176.246066513
012_3,s0.892144917,s-0.729726305,s166.336794385
012_4,s-0.100775515,s-1.926214675,s-0.770000000
012_5,s0.939507014,s-1.940195910,s-0.770000000
012_6,s1.349588581,s-1.200376955,s-176.246066513
012_7,s1.276729058,s-0.538792721,s-145.111383919
012_8,s0.206466142,s-2.140536343,s-145.111383919
012_9,s1.246748671,s-2.154517578,s-145.111383919
012_10,s1.932427446,s-0.743707540,s166.336794385
012_11,s-0.178118000,s-2.331469927,s166.336794385
013_0,s0.243477925,s-0.521586576,s-144.341383919
013_1,s-0.138505602,s-0.717671203,s167.106794385
013_2,s0.325221654,s-1.182131935,s-175.476066513
013_3,s0.901870876,s-0.717671203,s167.106794385
013_4,s-0.074880727,s-1.927395018,s0.000000000
013_5,s0.965495751,s-1.927395018,s0.000000000
013_6,s1.365598132,s-1.182131935,s-175.476066513
013_7,s1.283854403,s-0.521586576,s-144.341383919
013_8,s0.235213375,s-2.137568425,s-144.341383919
013_9,s1.275589853,s-2.137568425,s-144.341383919
013_10,s1.942247354,s-0.717671203,s167.106794385
013_11,s-0.146770152,s-2.333653052,s167.106794385
013_12,s0.893606326,s-2.333653052,s167.106794385
014_0,s0.243477925,s-0.521586576,s-144.341383919
014_1,s-0.138505602,s-0.717671203,s167.106794385
014_2,s0.325221654,s-1.182131935,s-175.476066513
014_3,s0.901870876,s-0.717671203,s167.106794385
014_4,s-0.074880727,s-1.927395018,s0.000000000
014_5,s0.965495751,s-1.927395018,s0.000000000
014_6,s1.365598132,s-1.182131935,s-175.476066513
014_7,s1.283854403,s-0.521586576,s-144.341383919
014_8,s0.235213375,s-2.137568425,s-144.341383919
014_9,s1.275589853,s-2.137568425,s-144.341383919
014_10,s1.942247354,s-0.717671203,s167.106794385
014_11,s-0.146770152,s-2.333653052,s167.106794385
014_12,s0.893606326,s-2.333653052,s167.106794385
014_13,s1.933982804,s-2.333653052,s167.106794385
015_0,s-0.520334562,s-0.246142235,s125.951638992
015_1,s-0.718370162,s0.134833482,s77.399817296
015_2,s-1.180453230,s-0.331263051,s94.816956398
015_3,s-0.713049477,s-0.905529390,s77.399817296
015_4,s-1.927752767,s0.065022679,s-89.706977089
015_5,s-1.922432081,s-0.975340193,s-89.706977089
015_6,s-1.175132544,s-1.371625923,s94.816956398
015_7,s-0.515013877,s-1.286505107,s125.951638992
015_8,s-2.136337544,s-0.246142235,s125.951638992
015_9,s-2.131016859,s-1.286505107,s125.951638992
015_10,s-0.707728791,s-1.945892263,s77.399817296
015_11,s-2.334373144,s0.134833482,s77.399817296
015_12,s-2.329052459,s-0.905529390,s77.399817296
015_13,s-2.323731774,s-1.945892263,s77.399817296
015_14,s-1.917111396,s-2.015703066,s-89.706977089
016_0,s-0.520334562,s-0.246142235,s125.951638992
016_1,s-0.718370162,s0.134833482,s77.399817296
016_2,s-1.180453230,s-0.331263051,s94.816956398
016_3,s-0.713049477,s-0.905529390,s77.399817296
016_4,s-1.927752767,s0.065022679,s-89.706977089
016_5,s-1.922432081,s-0.975340193,s-89.706977089
016_6,s-1.175132544,s-1.371625923,s94.816956398
016_7,s-0.515013877,s-1.286505107,s125.951638992
016_8,s-2.136337544,s-0.246142235,s125.951638992
016_9,s-2.131016859,s-1.286505107,s125.951638992
016_10,s-0.707728791,s-1.945892263,s77.399817296
016_11,s-2.334373144,s0.134833482,s77.399817296
016_12,s-2.329052459,s-0.905529390,s77.399817296
016_13,s-2.323731774,s-1.945892263,s77.399817296
016_14,s-1.917111396,s-2.015703066,s-89.706977089
016_15,s-1.169811859,s-2.411988796,s94.816956398
017_0,s0.525604356,s0.234678753,s-55.304233295
017_1,s0.715242407,s-0.150545864,s-103.856054991
017_2,s1.187430077,s0.305311069,s-86.438915889
017_3,s0.732724998,s0.889683714,s-103.856054991
017_4,s1.925864569,s-0.107258294,s89.037150624
017_5,s1.943347160,s0.932971284,s89.037150624
017_6,s1.204912668,s1.345540647,s-86.438915889
017_7,s0.543086947,s1.274908331,s-55.304233295
017_8,s2.141219152,s0.199260248,s-55.304233295
017_9,s2.158701743,s1.239489826,s-55.304233295
017_10,s0.750207589,s1.929913292,s-103.856054991
017_11,s2.330857202,s-0.185964369,s-103.856054991
017_12,s2.348339794,s0.854265209,s-103.856054991
017_13,s2.365822385,s1.894494787,s-103.856054991
017_14,s1.960829751,s1.973200862,s89.037150624
017_15,s1.222395259,s2.385770225,s-86.438915889
017_16,s2.176184335,s2.279719404,s-55.304233295
018_0,s-0.311749784,s0.065022679,s-89.706977124
018_1,s0.435549753,s-0.331263051,s94.816956363
018_2,s-0.520334562,s-0.246142235,s125.951638957
018_3,s0.430229068,s0.709099822,s94.816956363
018_4,s-0.718370162,s0.134833483,s77.399817261
018_5,s-0.525655247,s0.794220638,s125.951638957
018_6,s0.897632821,s0.134833482,s77.399817261
018_7,s-0.713049477,s-0.905529390,s77.399817261
018_8,s0.902953505,s-0.905529391,s77.399817261
018_9,s-0.306429100,s-0.975340193,s-89.706977124
018_10,s1.095668420,s-0.246142235,s125.951638957
018_11,s1.090347736,s0.794220638,s125.951638957
018_12,s-0.317070469,s1.105385553,s-89.706977124
018_13,s0.892312136,s1.175196355,s77.399817261
018_14,s-0.723690847,s1.175196355,s77.399817261
018_15,s-0.515013877,s-1.286505107,s125.951638957
018_16,s1.100989105,s-1.286505107,s125.951638957
018_17,s0.440870437,s-1.371625924,s94.816956363
