id,x,y,deg
001_0,s-0.475157024,s-0.324899767,s134.998616081
002_0,s-0.172342583,s0.467726613,s23.161617603
002_1,s0.135981804,s0.994052535,s-157.315823810
003_0,s1.144958794,s-1.225338714,s68.120757344
003_1,s0.742691552,s-1.504963012,s161.417639763
003_2,s1.231317109,s-1.545248546,s-153.832627909
004_0,s-0.421305587,s0.498073568,s-137.512034332
004_1,s-0.545436465,s0.898566092,s-63.474088549
004_2,s-0.603627941,s0.096205712,s115.059377731
004_3,s-0.720585601,s0.495430630,s42.626005577
005_0,s0.183811986,s-1.963761265,s79.216267129
005_1,s-0.516649661,s-2.140591813,s134.362031825
005_2,s-0.254438756,s-2.464663851,s-85.314491400
005_3,s-0.438491746,s-2.764549715,s128.470649230
005_4,s0.225500116,s-2.945596517,s113.629377731
006_0,s0.243477925,s-0.521586576,s-144.341383919
006_1,s-0.138505602,s-0.717671203,s167.106794385
006_2,s0.325221654,s-1.182131935,s-175.476066513
006_3,s0.901870876,s-0.717671203,s167.106794385
006_4,s-0.074880727,s-1.927395018,s0.000000000
006_5,s0.965495751,s-1.927395018,s0.000000000
007_0,s0.795911878,s-1.712420921,s-163.501443785
007_1,s0.296132774,s-1.543505401,s121.004548867
007_2,s0.634782449,s-2.325468257,s132.385598212
007_3,s-0.168255913,s-1.359349882,s34.810363001
007_4,s-0.086660182,s-2.377790382,s-47.236750752
007_5,s1.207692163,s-0.915928847,s-157.063328375
007_6,s0.884388537,s-1.221831847,s89.775329243
008_0,s0.531466317,s0.221082814,s-56.778017373
008_1,s0.711133831,s-0.168891775,s-105.329839069
008_2,s1.194889735,s0.274669906,s-87.912699967
008_3,s0.755364874,s0.870544048,s-105.329839069
008_4,s1.922468853,s-0.156755180,s87.563366546
008_5,s1.966699896,s0.882680643,s87.563366546
008_6,s1.239120778,s1.314105729,s-87.912699967
008_7,s0.575697360,s1.260518637,s-56.778017373
009_0,s1.082984326,s1.214615861,s-83.857424615
009_1,s1.539963695,s0.914719495,s-132.490149409
009_2,s0.102752152,s0.448535397,s-125.007131280
009_3,s0.139161127,s1.471013399,s-115.962585756
009_4,s1.850533962,s0.130863637,s47.542031800
009_5,s1.160070360,s0.326617307,s76.018274312
009_6,s0.683459914,s1.577301198,s-64.945793931
009_7,s0.288326343,s0.862601967,s-80.792875543
009_8,s1.045086566,s-0.084725866,s-113.629377731
010_0,s0.243477925,s-0.521586576,s-144.341383919
010_1,s-0.138505602,s-0.717671203,s167.106794385
010_2,s0.325221654,s-1.182131935,s-175.476066513
010_3,s0.901870876,s-0.717671203,s167.106794385
010_4,s-0.074880727,s-1.927395018,s0.000000000
010_5,s0.965495751,s-1.927395018,s0.000000000
010_6,s1.365598132,s-1.182131935,s-175.476066513
010_7,s1.283854403,s-0.521586576,s-144.341383919
010_8,s0.235213375,s-2.137568425,s-144.341383919
010_9,s1.275589853,s-2.137568425,s-144.341383919
011_0,s0.301189926,s-0.031960052,s94.767070607
011_1,s-0.433374453,s0.330824892,s-87.634168489
011_2,s0.501930894,s0.223637362,s-56.037265017
011_3,s-0.911105779,s-0.012388620,s-117.140680750
011_4,s0.702886916,s0.875003269,s-102.490707418
