id,x,y,deg
001_0,s4.656576052,s-10.039609858,s-44.993137406
002_0,s-9.925065320,s-5.226735490,s-80.546208150
002_1,s-9.585920645,s-5.530605032,s-129.893137406
003_0,s-10.067050912,s-2.509739591,s-146.392341673
003_1,s-9.508212963,s-2.081159769,s163.685339431
003_2,s-9.387780238,s-2.962839116,s-24.157393916
004_0,s-11.090194806,s-3.434271412,s-162.134093175
004_1,s-11.048130993,s-4.451947983,s17.220926776
004_2,s-11.626088318,s-3.816524921,s-164.736808155
004_3,s-11.968372311,s-3.521852406,s-68.040048337
005_0,s3.402221474,s-11.249371387,s-72.784753560
005_1,s4.367033952,s-11.249905707,s106.917200671
005_2,s3.759355285,s-11.824636736,s-73.678034872
005_3,s3.236846041,s-11.993950580,s8.016723095
005_4,s3.675011506,s-12.328015897,s-89.363218262
006_0,s-8.207417439,s6.346857952,s161.893989099
006_1,s-7.524763356,s6.173757055,s111.971670203
006_2,s-8.142195695,s5.532945209,s-75.871063144
006_3,s-7.149484365,s5.533560405,s103.710292956
006_4,s-7.036441083,s6.588640815,s161.893989099
006_5,s-7.458082547,s6.759520415,s103.710292956
007_0,s-9.015661223,s8.030241188,s145.983693454
007_1,s-9.756896874,s7.600454697,s-33.788242225
007_2,s-8.997756214,s8.315415370,s-45.680106732
007_3,s-9.635330993,s8.442508638,s144.934669739
007_4,s-8.777627797,s9.183968292,s142.162626615
007_5,s-9.448716100,s9.003174925,s-167.915054489
007_6,s-9.880387478,s8.949233811,s133.901249368
008_0,s3.543822020,s-11.325003861,s-65.780622269
008_1,s4.392889965,s-11.381538967,s112.611695132
008_2,s3.364932198,s-11.556941748,s100.719830625
008_3,s3.825648932,s-12.015629428,s-68.665392904
008_4,s2.700932060,s-12.158559993,s-71.437436028
008_5,s3.359945042,s-12.379348674,s-21.515117132
008_6,s3.751514545,s-12.574836312,s-79.698813275
008_7,s3.578167106,s-12.780310617,s106.501673564
009_0,s-8.158328293,s-6.409835126,s-122.234947749
009_1,s-7.823824752,s-5.790086872,s-172.157266645
009_2,s-7.353116401,s-6.545266428,s0.000000008
009_3,s-7.111387378,s-5.582435580,s179.581356108
009_4,s-8.106955989,s-5.215261785,s-122.234947749
009_5,s-8.375590995,s-5.582435580,s179.581356108
009_6,s-8.617320018,s-6.545266428,s0.000000008
009_7,s-8.565947714,s-5.350693087,s0.000000008
009_8,s-7.301744097,s-5.350693087,s0.000000008
010_0,s-10.591524401,s-3.807984807,s-163.459059896
010_1,s-10.789315330,s-4.592102123,s14.933257505
010_2,s-10.825755923,s-3.549490681,s3.041392998
010_3,s-11.341888656,s-3.944789679,s-166.343830531
010_4,s-11.333260581,s-2.811060105,s-169.115873655
010_5,s-11.640122429,s-3.434663791,s-119.193554759
010_6,s-11.886176105,s-3.796602573,s-177.377250902
010_7,s-11.895183883,s-2.623417117,s-177.377250902
010_8,s-12.245390921,s-4.599983395,s3.949751109
010_9,s-12.074821725,s-3.593117641,s6.992319734
011_0,s3.222863276,s4.205893636,s0.000000008
011_1,s2.417651383,s4.341324937,s-122.234947749
011_2,s3.681855001,s4.341324937,s-122.234947749
011_3,s2.752154925,s4.961073191,s-172.157266645
011_4,s4.016358543,s4.961073192,s-172.157266645
011_5,s3.464592299,s5.168724483,s179.581356108
011_6,s3.274235580,s5.400466976,s0.000000008
