id,x,y,deg
001_0,s-4.423389984,s-9.355167455,s45.007542445
002_0,s-0.711592084,s-10.323718989,s66.370622269
002_1,s-1.297007760,s-10.761714608,s-86.396626975
003_0,s-0.654855456,s-8.582563385,s-26.424772580
003_1,s-1.336899800,s-8.210147090,s-79.375003979
003_2,s-1.151975945,s-8.799432660,s-111.951971115
004_0,s-8.581172527,s-0.672835772,s-107.578223373
004_1,s-8.318077270,s0.058368214,s-160.528454772
004_2,s-8.871913368,s-0.214981181,s166.894578092
004_3,s-9.150577402,s0.187300921,s-82.270980235
005_0,s-2.593446032,s-8.207512875,s-39.597243138
005_1,s-3.172677407,s-7.689469057,s-92.547474537
005_2,s-3.126907373,s-8.305390659,s-125.124441673
005_3,s-3.604321944,s-8.412907449,s-14.290000000
005_4,s-3.470036268,s-8.850130017,s-92.547474537
006_0,s-1.893567976,s-11.578395758,s-25.559004458
006_1,s-2.621981261,s-11.529160911,s-20.294941503
006_2,s-2.059882621,s-11.866127008,s87.793540052
006_3,s-3.285872923,s-11.979837658,s-92.075383160
006_4,s-3.003481851,s-12.527510252,s-55.891965532
006_5,s-2.232980814,s-12.557423660,s-47.946083298
007_0,s-3.306578389,s-11.404048181,s-33.359318599
007_1,s-4.130709808,s-11.234020905,s-41.327171783
007_2,s-3.506243819,s-11.662374166,s78.465386809
007_3,s-4.746287978,s-11.590092936,s-99.875697301
007_4,s-4.550930700,s-12.184857053,s-58.938119453
007_5,s-4.004747746,s-12.540705036,s-10.837227815
007_6,s-3.600788857,s-12.326056558,s-59.710446164
008_0,s-0.567599843,s-12.697174057,s-14.203856342
008_1,s-1.224238511,s-12.531072905,s-53.611074924
008_2,s-1.663514174,s-12.707940112,s-10.615233643
008_3,s-0.826886887,s-12.988704143,s84.564758049
008_4,s-2.071635519,s-13.051475695,s-93.776326061
008_5,s-1.810144456,s-13.619230594,s-52.838748213
008_6,s-1.227892726,s-13.915706039,s-4.737856575
008_7,s-0.831679585,s-13.679806232,s-49.270616497
009_0,s-4.337136935,s-11.923901690,s-31.458479435
009_1,s-4.929821016,s-11.585508383,s-70.865698017
009_2,s-5.399544476,s-11.592703245,s-27.869856736
009_3,s-4.686093751,s-12.140406286,s67.310134956
009_4,s-5.889562108,s-11.826097011,s-111.030949154
009_5,s-5.812126704,s-12.450904018,s-70.093371306
009_6,s-5.344018763,s-12.906743598,s-21.992479668
009_7,s-4.895664515,s-12.798984423,s-66.525239590
009_8,s-4.189944402,s-12.928754950,s-25.390109555
010_0,s12.102449998,s-3.810628864,s61.052252389
010_1,s11.917369090,s-4.492776118,s21.645033807
010_2,s11.917127145,s-4.976153999,s64.640875088
