id,x,y,deg
001_0,s0.000000000,s0.000000000,s-45.000000000
002_0,s-1.868828614,s-4.531180661,s66.371077152
002_1,s-2.391936398,s-4.839638169,s-113.561110259
003_0,s-4.019972580,s4.257287373,s-65.479024852
003_1,s-4.113595296,s3.660600876,s23.624185755
003_2,s-3.643260665,s3.751781163,s-25.098832395
004_0,s6.523797118,s1.203218260,s-65.966321670
004_1,s6.458008136,s0.491777587,s-111.550161478
004_2,s6.918340448,s0.935081078,s-155.095291387
004_3,s6.207332304,s0.920872059,s156.361520886
005_0,s-2.458389098,s20.315060428,s19.169086570
005_1,s-2.029853761,s20.502565433,s-119.162877678
005_2,s-1.638481070,s20.745869278,s-20.953536993
005_3,s-1.987393049,s21.243839522,s-62.517799888
005_4,s-2.097500900,s20.802640268,s58.868892639
006_0,s38.294601131,s1.257288018,s-38.861028080
006_1,s38.106073536,s0.560883729,s-116.869504734
006_2,s37.775604594,s0.947943869,s-88.055627799
006_3,s38.637678324,s0.697506852,s-22.686445992
006_4,s37.595398984,s0.406665427,s23.120894622
006_5,s37.549293787,s1.461870952,s-69.690006414
007_0,s-1.383964459,s4.417509013,s66.706206072
007_1,s-1.442345316,s3.774720261,s49.179840778
007_2,s-0.898691132,s4.032572993,s24.842061533
007_3,s-0.948642011,s3.782707448,s-155.224873354
007_4,s-1.337150473,s3.286371491,s-113.415138484
007_5,s-1.653247313,s3.417783322,s124.435287716
007_6,s-2.036411896,s3.657666183,s15.046154016
008_0,s2.919310156,s-2.586903908,s-65.983446894
008_1,s3.902976706,s-2.672422344,s-111.658393244
008_2,s3.292043565,s-3.096062793,s-23.992495288
008_3,s3.054632470,s-3.221111328,s154.163710356
008_4,s3.965912278,s-3.722010642,s-121.163979308
008_5,s3.474259823,s-3.392902734,s-158.597268148
008_6,s4.440329383,s-3.326638804,s67.012181559
008_7,s3.099314727,s-3.883438835,s-114.103485586
009_0,s-0.220582694,s1.670464849,s-156.190883536
009_1,s-1.529020170,s1.397785105,s153.741418813
009_2,s-0.107804176,s0.835160592,s-157.949169231
009_3,s-0.860186594,s0.544432438,s-127.121947002
009_4,s-0.578492752,s1.907651587,s139.607444655
009_5,s-0.647578582,s1.341537807,s-166.198598671
009_6,s-1.116789459,s1.816764585,s102.218345055
009_7,s-1.006373092,s1.027240802,s109.250669514
009_8,s-1.207872831,s0.450162497,s120.290425871
010_0,s-2.664828753,s-3.310497383,s-67.900117352
010_1,s-0.956915615,s-2.590694385,s120.542354443
010_2,s-1.692611085,s-2.707044874,s63.301626204
010_3,s-1.120239261,s-3.739406697,s-23.787842856
010_4,s-2.592529112,s-3.726921654,s-154.403768263
010_5,s-2.583490294,s-2.668318795,s-114.597011313
010_6,s-2.051903802,s-4.102488431,s-59.487082131
010_7,s-1.475828566,s-4.120968143,s-114.282506578
010_8,s-1.585595670,s-3.276553066,s-59.487082131
010_9,s-2.112024694,s-3.468065290,s-106.380811256
