id,x,y,deg
001_0,s0.000000000000000,s0.000000000000000,s-45.000000000000000
002_0,s-2.065293908841479,s-4.525797951602248,s66.460622269343219
002_1,s-2.588605555519041,s-4.833856962413447,s-113.528604370333369
003_0,s4.256923077422115,s4.020358346502423,s-155.473832875808512
003_1,s3.660228099289423,s4.113926992005653,s-66.370622269343187
003_2,s3.751451006363446,s3.643600625256590,s-115.093640419289898
004_0,s1.618033423481363,s-7.527234117989385,s-113.665750180420204
004_1,s2.324204566244688,s-7.389449637429210,s-152.549025682925162
004_2,s2.454829143035290,s-8.178247453336228,s113.929377730656867
004_3,s1.581074621894074,s-8.160334393967757,s-67.300520117910125
005_0,s20.971230792382428,s2.158957085963294,s-67.680489316889037
005_1,s21.158467611799541,s1.772298742502554,s151.050565879098997
005_2,s21.396246682239923,s1.342539159791093,s-111.894758190844627
005_3,s21.898072759434790,s1.700350855853629,s-153.459021085590564
005_4,s21.476839099669057,s1.843571212444880,s-38.061431115756122
006_0,s41.417162639053302,s1.943902466470200,s-22.311015672924654
006_1,s40.469300804082550,s1.635772784576065,s22.757595865636588
006_2,s40.355833354050120,s2.683873902325765,s-64.916085535653792
006_3,s40.876319242094119,s1.842297461588303,s-122.019360296596261
006_4,s41.110164894386024,s2.527247629022910,s-51.703724720687106
006_5,s40.588152691978536,s2.222418544463125,s-90.732096843602250
007_0,s-2.028072299139051,s3.662346995016983,s14.921914770028142
007_1,s-1.433753197505160,s3.778046110178955,s49.055601531513140
007_2,s-0.889507454612892,s4.034509564780779,s24.711612544798317
007_3,s-1.645428983327098,s3.421773579105174,s124.311048470103373
007_4,s-1.319993951831870,s3.287343421645337,s-113.539377730656796
007_5,s-0.940033728938838,s3.784959163483959,s-155.349112600163352
007_6,s-1.373978109015648,s4.420334647792791,s66.581966825297371
008_0,s2.580050038162315,s2.934844573514860,s24.219498226284824
008_1,s2.661659149472706,s3.910548786257610,s-21.455448124225260
008_2,s3.085126679199873,s3.306246287919283,s66.210449832272587
008_3,s3.210323944678879,s3.071271965414434,s-115.633344524079746
008_4,s3.705301189037066,s3.976666070887028,s-30.961034188010959
008_5,s3.382727745781763,s3.499078854588000,s-68.394323027847236
008_6,s3.310425850521471,s4.445699461725832,s157.215126679181225
008_7,s3.868881764427305,s3.117920258427481,s-23.900540465978739
009_0,s1.933848327185094,s0.144499144144553,s113.300751146253987
009_1,s1.019879856318153,s0.982017837684117,s18.457743815997013
009_2,s1.352656143367358,s0.627346307370888,s102.333729418796423
009_3,s1.448185523771448,s1.436940697015258,s61.350583351281479
009_4,s0.482796168261184,s0.798303488133864,s158.367151884361874
009_5,s1.054991651709755,s0.126842472569275,s113.629377730656813
009_6,s1.883969101432897,s0.556370503916070,s41.984196318729950
009_7,s1.825263929559565,s1.103241035501717,s-18.322816781567006
009_8,s0.422884747694878,s1.120500907652773,s-20.953210463666359
010_0,s-2.637843353398737,s2.627979977680512,s155.563079723365746
010_1,s-4.115450526894953,s2.050191721558939,s-148.500852700914322
010_2,s-2.607303350388280,s0.945979882226962,s28.770031537201355
010_3,s-3.482155084988353,s2.121160096997121,s164.605418174085713
010_4,s-2.725484065162968,s1.705630184599199,s-26.686180156564269
010_5,s-3.690469705587007,s2.568015244335960,s112.646204684051213
010_6,s-3.305984649458992,s2.636253852561944,s-156.518293392474533
010_7,s-3.266872902760939,s1.607645765468203,s-153.307355001223726
010_8,s-4.132692942697783,s1.476283241663315,s157.931486742759944
010_9,s-3.714086542392002,s1.120389656943179,s-111.692716270788154
011_0,s-2.741435018166114,s3.853078181635096,s163.331365106999812
011_1,s-2.494689612436765,s2.424101781424699,s167.226974723317880
011_2,s-3.366367367387280,s3.861303681137593,s-152.758959464000185
011_3,s-3.844822699015614,s2.398721855123287,s-155.682450701000164
011_4,s-4.245260239752919,s2.540897282606624,s154.444074983843564
011_5,s-3.488255442020514,s3.329511394858827,s162.832975903999824
011_6,s-4.082151330919071,s3.808670696245244,s142.225501558999810
011_7,s-3.178987708481023,s2.983083938316805,s-153.838059608000179
011_8,s-4.114907923760772,s3.235347063674384,s-150.836551065000180
011_9,s-2.562800857550651,s3.228146611938562,s-153.925266617000176
011_10,s-3.199916724016949,s2.371757252875554,s156.804537910999812
012_0,s3.354805175511384,s3.489899100778493,s73.705734038669547
012_1,s3.864744627385693,s2.517085345423868,s61.855503083842407
012_2,s3.792641192022484,s3.298162936248382,s120.599463163669554
012_3,s2.410455783858644,s3.487612399326226,s71.984870729480789
012_4,s3.269437524600706,s2.495256109280581,s113.629377730656813
012_5,s2.876392903492946,s4.317722117336137,s70.604054948155991
012_6,s2.685000776676671,s2.579154587171135,s72.312922898668589
