id,x,y,deg
001_0,s0.000000000,s0.000000000,s-45.000000000
002_0,s-4.525682062,s2.065547847,s-23.542592576
002_1,s-4.833711709,s2.588876777,s156.468180784
003_0,s-4.019972580,s4.257287373,s-65.479024852
003_1,s-4.113595296,s3.660600876,s23.624185755
003_2,s-3.643260665,s3.751781163,s-25.098832395
004_0,s1.555261533,s-8.429242767,s-67.227143823
004_1,s2.299232858,s-7.657715475,s-152.475649388
004_2,s1.593239266,s-7.796585587,s-113.592373886
004_3,s2.430870493,s-8.447392436,s114.002754025
005_0,s-2.155743870,s20.971226967,s22.310731881
005_1,s-1.769056842,s21.158521467,s-118.958212923
005_2,s-1.339260833,s21.396383181,s-21.903536993
005_3,s-1.696995635,s21.898577590,s-63.467799888
005_4,s-1.840280531,s21.477102758,s51.929790082
006_0,s37.948898768,s1.568316555,s-52.971335541
006_1,s37.823669188,s0.840353705,s-121.761813102
006_2,s37.265928514,s1.526324916,s-44.913211203
006_3,s38.349161940,s0.943468379,s-25.356022993
006_4,s37.364288103,s0.638639237,s24.922149348
006_5,s37.522287281,s1.203857144,s-88.567543362
007_0,s-1.367764183,s4.422228798,s66.496206072
007_1,s-1.428500586,s3.780030451,s48.969840778
007_2,s-0.883904977,s4.035740692,s24.632061533
007_3,s-0.934771323,s3.786204494,s-155.434873354
007_4,s-1.324572157,s3.287468944,s-113.625138484
007_5,s-1.640709406,s3.424075157,s124.225287716
007_6,s-2.022992202,s3.665221047,s14.836154016
008_0,s-2.925695507,s2.588791819,s114.016553106
008_1,s-3.901103531,s2.674061418,s68.341606756
008_2,s-3.295299574,s3.096469178,s156.007504712
008_3,s-3.059881701,s3.221153853,s-25.836289644
008_4,s-3.963510717,s3.720595674,s58.836020692
008_5,s-3.487073094,s3.395510618,s21.402731852
008_6,s-4.433944781,s3.326374270,s-112.987818441
008_7,s-3.104188821,s3.881554151,s65.896514414
009_0,s1.939984770,s0.143299018,s113.305602176
009_1,s1.450568517,s1.438339140,s61.355434382
009_2,s1.054320342,s0.125450317,s113.634228761
009_3,s0.477697041,s0.798204819,s158.372002915
009_4,s1.889721888,s0.556017023,s41.989047349
009_5,s1.354293839,s0.627046324,s102.338580449
009_6,s1.830565583,s1.104013036,s-20.948359433
009_7,s1.018942195,s0.982395687,s18.462594846
009_8,s0.419149295,s1.117121893,s-18.317965751
010_0,s-2.662790223,s-3.311427074,s-67.880117352
010_1,s-0.956928793,s-2.591028574,s120.562354443
010_2,s-1.691808092,s-2.707635592,s63.321626204
010_3,s-1.119679290,s-3.739797766,s-23.767842856
010_4,s-2.590421439,s-3.727826108,s-154.383768263
010_5,s-2.589668892,s-2.660634736,s-114.577011313
010_6,s-2.050234949,s-4.103204348,s-59.467082131
010_7,s-1.474760549,s-4.121483182,s-114.262506578
010_8,s-1.584706696,s-3.277106433,s-59.467082131
010_9,s-2.110513918,s-3.468802209,s-106.360811256
011_0,s2.741435018,s-3.853078182,s-16.668634893
011_1,s2.494689612,s-2.424101781,s-12.773025277
011_2,s3.366367367,s-3.861303681,s27.241040536
011_3,s3.844822699,s-2.398721855,s24.317549299
011_4,s4.245260240,s-2.540897283,s-25.555925016
011_5,s3.488255442,s-3.329511395,s-17.167024096
011_6,s4.082151331,s-3.808670696,s-37.774498441
011_7,s3.178987708,s-2.983083938,s26.161940392
011_8,s4.114907924,s-3.235347064,s29.163448935
011_9,s2.562800858,s-3.228146612,s26.074733383
011_10,s3.199916724,s-2.371757253,s-23.195462089
