id,x,y,deg
001_0,s0.000000000000000,s0.000000000000000,s-45.000000000000000
002_0,s2.065547846999999,s4.525682062000000,s-113.542592576000004
002_1,s2.588876776999999,s4.833711709000000,s66.468180783999998
003_0,s4.257287373000000,s4.019972580000000,s-155.479024852000009
003_1,s3.660600876000000,s4.113595296000000,s-66.375814245000001
003_2,s3.751781163000000,s3.643260665000001,s-115.098832395000002
004_0,s1.636489040011016,s-7.733835858494953,s-67.277143823000003
004_1,s2.378699911564742,s-6.964870137597587,s-152.525649388000033
004_2,s1.674896495985220,s-7.102784609860613,s-113.642373886000001
004_3,s2.509214894310047,s-7.752697372769177,s113.952754025000004
005_0,s-2.163064277122420,s20.971044521551480,s22.330731880999998
005_1,s-1.776442581054709,s21.158274202951315,s-118.938212923000009
005_2,s-1.346729539071977,s21.396032203263470,s-21.883536993000000
005_3,s-1.704639431201626,s21.897566019554276,s-63.447799887999999
005_4,s-1.847777352939604,s21.476490783176814,s51.949790082000000
006_0,s41.040468194768266,s3.565613179313821,s-51.420145294100671
006_1,s40.787794223873384,s2.859657763141861,s-121.353951616572019
006_2,s40.255731014170699,s3.657121102921723,s-60.418599280658981
006_3,s41.338021144301159,s2.975672714269100,s-22.582922837913891
006_4,s40.380366906344221,s2.662961717982631,s23.730524608189512
006_5,s40.511885899564696,s3.246762543864588,s-89.759168101810488
007_0,s-1.367764183000000,s4.422228798000000,s66.496206072000007
007_1,s-1.428500586000000,s3.780030451000000,s48.969840777999998
007_2,s-0.883904977000000,s4.035740692000000,s24.632061533000002
007_3,s-0.934771323000000,s3.786204494000000,s-155.434873353999990
007_4,s-1.324572157000000,s3.287468944000000,s-113.625138484000004
007_5,s-1.640709406000000,s3.424075157000000,s124.225287715999997
007_6,s-2.022992202000000,s3.665221047000000,s14.836154016000000
008_0,s2.590479387101522,s2.925695507000000,s24.016553106000003
008_1,s2.675526555440769,s3.901103531000000,s-21.658393243999996
008_2,s3.096832440466962,s3.295299574000000,s66.007504712000014
008_3,s3.221191868310046,s3.059881701000000,s-115.836289644000004
008_4,s3.719330866550751,s3.963510717000000,s-31.163979307999995
008_5,s3.395093813645115,s3.487073094000000,s-68.597268148000012
008_6,s3.326137811791318,s4.433944781000000,s157.012181558999998
008_7,s3.879869474091844,s3.104188821000000,s-24.103485586000005
009_0,s1.939984770000000,s0.143299018000000,s113.305602175999994
009_1,s1.450568517000000,s1.438339140000000,s61.355434381999999
009_2,s1.054320342000000,s0.125450317000000,s113.634228761000003
009_3,s0.477697041000000,s0.798204819000000,s158.372002914999996
009_4,s1.889721888000000,s0.556017023000000,s41.989047349000003
009_5,s1.354293839000000,s0.627046324000000,s102.338580449000006
009_6,s1.830565583000000,s1.104013036000000,s-20.948359433000000
009_7,s1.018942195000000,s0.982395687000000,s18.462594845999998
009_8,s0.419149295000000,s1.117121893000000,s-18.317965750999999
010_0,s2.656612853346233,s3.283127552707020,s111.629882647999992
010_1,s0.982019742108401,s2.559746551568502,s-60.966322195801631
010_2,s1.732816237714694,s2.671593815712104,s-118.913201438231525
010_3,s1.114263935288658,s3.711576547736758,s155.183937408340455
010_4,s2.593546925773305,s3.655687969611574,s20.953301971438076
010_5,s2.659162911566374,s2.613927608685989,s65.247493422000005
010_6,s2.088401147969234,s4.104531249810785,s120.136845660031199
010_7,s1.492541597046746,s4.092236849984993,s66.280204433088230
010_8,s1.575557284485459,s3.247631549089276,s119.484698133340530
010_9,s2.098544126683276,s3.443487784547480,s72.590969008340508
011_0,s3.864757292198324,s2.627583427680290,s63.847069832582861
011_1,s2.430192208723422,s2.489574895936516,s77.086974722999955
011_2,s3.869517745564211,s3.356927493423477,s117.101040535999957
011_3,s2.408108284036948,s3.838510108362831,s114.177549298999949
011_4,s2.551260829995734,s4.238226577549599,s64.304074983999953
011_5,s3.338024598519076,s3.480001239814372,s72.692975903999951
011_6,s3.818632279244402,s4.072172123410767,s52.085501558999951
011_7,s2.990843195730129,s3.171868583026729,s116.021940391999948
011_8,s3.245390323683847,s4.106299041802467,s119.023448934999948
011_9,s3.234400911647090,s2.555657933093782,s115.934733382999951
011_10,s2.379569427306646,s3.194271820316679,s66.664537910999954
012_0,s-3.489646740828873,s3.351913670683803,s163.704323044000006
012_1,s-2.518827387145780,s3.858801058734494,s151.854092089000005
012_2,s-3.298295371453191,s3.787144927049923,s-149.401947831000001
012_3,s-3.487387964361325,s2.413172194320265,s161.983459734999997
012_4,s-2.497057815033897,s3.267028622546375,s-156.372033264000009
012_5,s-4.308562876653198,s2.877000195097167,s160.602643954000001
012_6,s-2.580797571175848,s2.686064575856215,s162.311511904000014
012_7,s-4.185714927204165,s3.847166354577859,s150.047368607999999
012_8,s-3.239386009442478,s2.864208839412081,s-150.794758970999993
012_9,s-4.133268520369192,s2.316302818550181,s-151.122811140000010
012_10,s-3.215143239511366,s1.939378170249982,s-113.056276844999999
012_11,s-4.122215671200124,s3.298080026803982,s-149.729999999999990
013_0,s-0.945028748787873,s-0.037276307245204,s-178.733276390000015
013_1,s0.012062013407569,s-0.017298440337212,s-173.622573539000030
013_2,s0.405554174974910,s-0.247141257648957,s-126.425977369999984
013_3,s-0.075166865488671,s-1.096822285062526,s-140.091577928000021
013_4,s0.922515452922035,s-1.048464183107046,s-152.704728540000019
013_5,s-0.566528618663855,s-0.294845288739870,s-130.563403831000016
013_6,s0.949861918357929,s0.072259469089678,s-156.046205062000013
013_7,s-0.479191583616884,s-0.837257467101614,s-177.760000000000019
013_8,s-0.944552573660271,s-1.062946216470785,s156.334528663999976
013_9,s0.489664684300706,s0.406236732110736,s-91.151280504999988
013_10,s0.488151403559535,s-0.799110289820751,s-178.255783963000027
013_11,s-0.849698001871951,s0.544710185476421,s-148.510629111000014
013_12,s-0.298594920455740,s0.436374397201442,s-108.478632760999986
014_0,s-0.533503012000000,s-1.063659194000000,s-42.756978748999998
014_1,s0.278392966000000,s-0.573054798000000,s-44.335087684999998
014_2,s0.841271708000000,s-0.471645960000000,s-88.829999999999998
014_3,s-0.553541160000000,s-0.115696985000000,s-42.683458061000003
014_4,s1.024524656000000,s-1.065569784000000,s-43.701662618000000
014_5,s0.045034240000000,s1.011283031000000,s-66.306255589000003
014_6,s-0.814147310000000,s0.988574628000000,s-61.683731770000001
014_7,s-0.833519195000000,s0.459722931000000,s-89.351429908000000
014_8,s-0.811898495000000,s-0.490537671000000,s-88.903520688000000
014_9,s0.258984286000000,s0.373866393000000,s-43.677331379000002
014_10,s1.090288942000000,s-0.082450403000000,s-42.683458061000003
014_11,s-0.000556615000000,s-0.000299463000000,s-88.903520688000000
014_12,s0.019332898000000,s-0.947552979000000,s-88.903520688000000
014_13,s0.844971789000000,s0.511574380000000,s-79.183204993999993
015_0,s-0.000107442000000,s0.000000000000000,s-0.110000000000000
015_1,s-0.368476318000000,s0.267354944000000,s46.036541939000003
015_2,s0.103542232000000,s-0.555289975000000,s46.036541939000003
015_3,s0.578710465000000,s0.265533267000000,s46.036541939000003
015_4,s-0.475275676000000,s-0.820823242000000,s-0.110000000000000
015_5,s-0.472125993000000,s0.822644919000000,s-0.110000000000000
015_6,s0.471911109000000,s-0.822644919000000,s-0.110000000000000
015_7,s0.475060792000000,s0.820823242000000,s-0.110000000000000
015_8,s-0.843644552000000,s-0.553468299000000,s46.036541939000003
015_9,s-0.947294224000000,s0.001821676000000,s-0.110000000000000
015_10,s0.947079340000000,s-0.001821676000000,s-0.110000000000000
015_11,s1.050729015000000,s-0.557111652000000,s46.036541939000003
015_12,s0.106691915000000,s1.088178185000000,s46.036541939000003
015_13,s-0.840494868000000,s1.089999862000000,s46.036541939000003
015_14,s1.053878698000000,s1.086356509000000,s46.036541939000003
016_0,s-3.628436774000000,s4.576110952000000,s10.628446160999999
016_1,s-2.009287161000000,s3.562245334000000,s-15.561553528999999
016_2,s-3.697283388000000,s2.789993590000000,s20.211145213999998
016_3,s-2.279937263000000,s4.220073167000000,s-42.479388497000002
016_4,s-3.156536883000000,s4.985007098000000,s-63.126117080999997
016_5,s-2.584277769000000,s2.663466645000000,s-25.243927884000001
016_6,s-1.590171083000000,s4.376989708000000,s3.119402051000000
016_7,s-1.459629239000000,s3.750707988000000,s-23.441639617000000
016_8,s-1.965289210000000,s2.724457436000000,s18.345020486999999
016_9,s-1.553625459000000,s2.822712255000000,s-29.019706028000002
016_10,s-2.566240528000000,s4.610134656000000,s-19.890028979000000
016_11,s-2.532820048000000,s3.760536892000000,s17.678737929000000
016_12,s-3.388955318000000,s4.278857612000000,s-62.500000000000000
016_13,s-3.151949818000000,s2.772593447000000,s20.317006466999999
016_14,s-2.863473985000000,s3.195774469000000,s-59.994571923000002
016_15,s-3.582051282000000,s3.769440708000000,s25.206079808999998
017_0,s0.810217966112051,s-0.637632515349321,s-86.564802535754097
017_1,s0.297995492745279,s-0.571084759744495,s-41.977316153000004
017_2,s0.000229025739105,s0.000185691956376,s-88.969999999999985
017_3,s-0.470065869500504,s-1.046373450687864,s-42.769595738000007
017_4,s0.264446934038339,s0.375305446256956,s-41.977316153000004
017_5,s-0.521223660543838,s0.927568136134061,s-32.697147650000005
017_6,s-0.548219180225295,s-0.113427736500877,s-41.977316153000004
017_7,s0.217399728054421,s-0.999476770072197,s-111.715105596999990
017_8,s0.812895140002740,s0.488918874714209,s-88.969999999999985
017_9,s-0.829485546791250,s0.459400266916360,s-88.969999999999985
017_10,s1.071076519434812,s0.885023390147214,s-31.139355874999996
017_11,s-0.812437088524529,s-0.488547490801458,s-88.969999999999985
017_12,s-0.991110896506910,s1.354346010550574,s-77.065101916999993
017_13,s-0.016819432527616,s0.948133449674193,s-88.969999999999985
017_14,s1.088823365726043,s-0.157476574547649,s-41.977316153000004
017_15,s1.295185884893367,s-1.101743828968918,s-41.733387415000003
017_16,s0.620241017138304,s1.351039452263733,s-76.698093970999992
018_0,s-1.752305049345364,s-2.456299988104210,s-160.278122655172410
018_1,s-2.421343824037969,s-3.748352499462818,s149.188715036738813
018_2,s-2.911616736691867,s-3.607870574343901,s135.320042946999990
018_3,s-3.753948086032457,s-1.896457849458904,s126.121214916630692
018_4,s-1.768111634858177,s-2.125768030982273,s50.217906401018979
018_5,s-1.829743610669226,s-4.148285355432219,s107.711844529531220
018_6,s-3.508611317435400,s-4.264915322299934,s106.233474478993031
018_7,s-3.796074261569053,s-3.616002706284009,s147.740807592000010
018_8,s-3.896303760457616,s-2.455708252096701,s-147.969999999999999
018_9,s-3.267460169009911,s-1.984930845516136,s163.150396224354211
018_10,s-2.643325854012339,s-2.000824399610621,s-124.371810823000004
018_11,s-3.317292354808456,s-3.166193386570697,s169.200504879999983
018_12,s-2.396594918545534,s-2.557558818441241,s173.806523857999991
018_13,s-3.928511414543742,s-3.014707759324192,s143.926004408666245
018_14,s-2.827843431900832,s-2.452282487090554,s121.176650013999989
018_15,s-2.932332715475690,s-2.970553779833701,s-146.556030076000013
018_16,s-1.945573451896470,s-3.509403911521249,s-138.738891378137083
018_17,s-1.940206965738211,s-2.965133900183957,s134.235451648999998
019_0,s0.000002017000000,s-0.000525170000000,s-60.890000000000001
019_1,s-1.170849731000000,s0.010915378000000,s-60.890000000000001
019_2,s0.040909966000000,s0.966236553000000,s-137.599957052999997
019_3,s-1.108265581000000,s1.080887952000000,s-151.351415519000000
019_4,s-0.595745453000000,s0.920228883000000,s-54.950105759000003
019_5,s1.190710114000000,s-1.229536046000000,s-38.513419278000001
019_6,s0.742648137000000,s0.543108697000000,s-103.719495120000005
019_7,s0.148816794000000,s-0.446275791000000,s-103.719495120000005
019_8,s-1.109490342000000,s-1.087890927000000,s-134.186245017000005
019_9,s-0.552921377000000,s-0.023147935000000,s-137.599957052999997
019_10,s-1.007702671000000,s-0.428382210000000,s-103.719495120000005
019_11,s0.569566282000000,s-1.006704996000000,s-60.500000000000000
019_12,s0.576140256000000,s0.946538335000000,s-57.356804852000003
019_13,s0.511781793000000,s-1.419267045000000,s-104.378245942000007
019_14,s-0.420028066000000,s-1.378735195000000,s-101.747699135000005
019_15,s-0.413871328000000,s0.561002277000000,s-104.761769381999997
019_16,s0.780866213000000,s-0.099426306000000,s-63.248147342000003
019_17,s-0.593829326000000,s-0.989909657000000,s-60.890000000000001
019_18,s1.196156385000000,s0.939965311000000,s-138.852553572000005
020_0,s-1.720276376000000,s2.133259446000000,s141.647354551000006
020_1,s-2.377345804000000,s2.082019114000000,s179.699999999999989
020_2,s-2.092452181000000,s2.511996624000000,s93.576311180000005
020_3,s-2.907400424000000,s2.105028576000000,s141.647354551000006
020_4,s-1.793568785000000,s3.291844195000000,s-178.846511011000018
020_5,s-2.968986925000000,s3.117289233000000,s179.699999999999989
020_6,s-2.304950617000000,s3.134046392000000,s141.647354551000006
020_7,s-3.286543110000000,s2.518248926000000,s93.576311180000005
020_8,s-3.499041546000000,s3.140298695000000,s141.647354551000006
020_9,s-2.684093304000000,s3.547266743000000,s93.576311180000005
020_10,s-3.549123904000000,s2.073770810000000,s179.699999999999989
020_11,s-2.732289010000000,s1.509166201000000,s105.621995424000005
020_12,s-3.878184231000000,s3.553519045999999,s93.576311180000005
020_13,s-4.101491352000000,s2.111280878000000,s141.647354551000006
020_14,s-2.366537119000001,s4.146307051000000,s179.699999999999989
020_15,s-3.560628047000000,s4.152559353000000,s179.699999999999989
