n,s_n,term,width,height,aspect,left,right,bottom,top
1,0.813173935,0.661251849302,0.813173935,0.813171661,1.000002797,1,1,1,1
2,0.949705928,0.450970674381,0.949705928,0.949698652,1.000007660,1,1,1,1
3,1.142343138,0.434982615004,1.142343138,1.142234324,1.000095264,1,1,1,1
4,1.303137526,0.424541852810,1.301152432,1.303137526,0.998476681,1,1,2,1
5,1.531539766,0.469122810757,1.528192649,1.531539766,0.997814541,1,1,2,1
6,1.628635005,0.442075329995,1.628538696,1.628635005,0.999940865,1,1,1,1
7,1.814743889,0.470470768996,1.809567543,1.814743889,0.997147616,1,1,2,1
8,1.964988615,0.482647532011,1.964988615,1.964900537,1.000044826,1,1,1,1
9,2.058722372,0.470926422891,2.052645683,2.058722372,0.997048320,1,1,1,2
10,2.240399677,0.501939071286,2.240399677,2.240272252,1.000056879,1,1,1,1
11,2.262282176,0.465265512964,2.262282176,2.262230986,1.000022628,1,1,1,1
12,2.380106243,0.472075477423,2.370415177,2.380106243,0.995928305,1,1,2,1
13,2.486564782,0.475615724230,2.486564782,2.486237908,1.000131473,1,1,1,1
14,2.601875188,0.483553892556,2.576197083,2.601875188,0.990130923,1,1,2,1
15,2.633710022,0.462428565168,2.633680473,2.633710022,0.999988781,1,1,1,1
16,2.751106392,0.473036648927,2.751106392,2.751086659,1.000007173,1,1,1,1
17,2.818071541,0.467148659579,2.818071541,2.818002388,1.000024540,1,1,1,1
18,2.985351552,0.495129105000,2.981409074,2.985351552,0.998679392,1,1,2,1
19,3.028295134,0.482661653770,3.028295134,3.028124075,1.000056490,1,1,1,1
20,3.058685717,0.467777915660,3.058486649,3.058685717,0.999934917,1,1,2,1
21,3.149097725,0.472229356123,3.106164867,3.149097725,0.986366616,1,1,1,2
22,3.195044575,0.464014083327,3.194897611,3.195044575,0.999954003,1,1,1,1
23,3.204882159,0.446576941433,3.194127155,3.204882159,0.996644181,1,1,2,1
24,3.402798028,0.482459767607,3.352746904,3.402798028,0.985291186,1,1,1,2
25,3.403902503,0.463462090070,3.396515459,3.403902503,0.997829831,1,1,2,1
26,3.403834978,0.445618944465,3.403014513,3.403834978,0.999758959,1,1,2,1
27,3.456243346,0.442430298876,3.456243346,3.456196335,1.000013602,1,1,1,1
28,3.546954559,0.449317380229,3.543916477,3.546954559,0.999143467,1,1,1,2
29,3.691444376,0.469888330362,3.621535217,3.691444376,0.981061841,1,1,2,1
30,3.768375356,0.473355094188,3.649577334,3.768375356,0.968475003,1,1,1,2
31,3.762545241,0.456669247988,3.750505907,3.762545241,0.996800216,1,1,1,2
32,3.827291454,0.457754995982,3.827291454,3.827149769,1.000037021,1,1,1,1
33,3.851139579,0.449432607848,3.851139579,3.850780186,1.000093330,1,1,1,1
34,3.946996003,0.458199336667,3.946996003,3.946951775,1.000011206,1,1,1,1
35,3.975476332,0.451554630353,3.920227780,3.975476332,0.986102659,1,1,2,1
36,3.988835938,0.441967003845,3.953912409,3.988835938,0.991244681,1,1,1,2
37,4.071090665,0.447939978548,3.938443860,4.071090665,0.967417379,1,1,2,1
38,4.204282088,0.465157575743,4.109335141,4.204282088,0.977416609,1,1,2,4
39,4.204284438,0.453230965086,4.104219628,4.204284438,0.976199324,1,1,3,1
40,4.204282088,0.441899696956,4.196970203,4.204282088,0.998260848,1,1,3,3
41,4.234044492,0.437247140412,4.225771702,4.234044492,0.998046126,1,1,2,1
42,4.314274278,0.443165774933,4.314196154,4.314274278,0.999981892,1,1,1,1
43,4.316591498,0.433324701337,4.315708668,4.316591498,0.999795480,1,1,1,1
44,4.421828246,0.444376478210,4.421828246,4.421784035,1.000009998,1,1,1,1
45,4.439358180,0.437953356596,4.421562171,4.439358180,0.995991310,1,1,1,2
46,4.484085038,0.437109100564,4.484085038,4.484041509,1.000009708,1,1,1,1
47,4.517559249,0.434220033282,4.517559249,4.517495685,1.000014070,1,1,1,1
48,4.688414302,0.457942263893,4.606317735,4.688414302,0.982489481,1,1,1,2
49,4.713843515,0.453475932417,4.590042669,4.713843515,0.973736751,1,1,2,1
50,4.743745473,0.450062422175,4.565976439,4.743745473,0.962525596,1,1,2,1
51,4.731645582,0.438989606237,4.557064479,4.731645582,0.963103512,1,1,1,2
52,4.755259602,0.434855651528,4.605665688,4.755259602,0.968541378,1,1,1,2
53,4.963432334,0.464823783660,4.887466711,4.963432334,0.984694941,1,1,1,2
54,5.004632535,0.463821237185,4.968230604,5.004632535,0.992726353,1,1,1,2
55,5.004429689,0.455351209300,4.986866432,5.004429689,0.996490458,1,1,1,2
56,4.982677215,0.443340575589,4.949260667,4.982677215,0.993293455,1,1,2,1
57,5.004650542,0.439412755203,4.988004178,5.004650542,0.996673821,1,1,1,2
58,5.004682088,0.431842117331,4.993116297,5.004682088,0.997689006,1,1,2,2
59,5.004682088,0.424522759411,4.991423993,5.004682088,0.997350862,1,1,5,5
60,5.027650646,0.421287850229,5.027486922,5.027650646,0.999967435,1,1,1,1
61,5.109868437,0.428045171162,5.080710507,5.109868437,0.994293800,1,1,2,1
62,5.112538215,0.421581403149,5.104927089,5.112538215,0.998511282,1,1,1,2
63,5.153515323,0.421566987052,5.153354492,5.153515323,0.999968792,1,1,1,1
64,5.171107376,0.417817992047,5.171018378,5.171107376,0.999982789,1,1,1,1
65,5.379262117,0.445176321960,5.073677362,5.379262117,0.943192068,1,1,1,2
66,5.404621827,0.442574804362,5.157203972,5.404621827,0.954221061,1,1,1,2
