id,x,y,deg
001_0,s-9.109002208,s-2.684062252,s135.000416834
002_0,s-2.616935504,s0.062742034,s113.578280902
002_1,s-3.140035115,s0.370973825,s-66.388381235
003_0,s7.394502672,s3.348262546,s-66.370622269
003_1,s7.306318247,s2.739967073,s23.674552762
003_2,s7.749534683,s2.819850432,s-26.339659623
004_0,s0.686423357,s-3.439936053,s151.504246502
004_1,s0.013315283,s-4.315572820,s-23.714623500
004_2,s0.020432516,s-3.438931510,s156.028116669
004_3,s0.600239801,s-4.317810415,s-29.439228580
005_0,s0.141717539,s1.346659169,s93.802540304
005_1,s0.531015557,s0.379517954,s15.226473127
005_2,s0.509643992,s1.340086124,s-158.484842356
005_3,s-0.325951709,s0.376426734,s15.366454945
005_4,s-0.032332753,s0.940037887,s-164.780986998
006_0,s0.937702966,s-0.228225080,s-159.800041509
006_1,s-0.010434414,s-0.580232711,s25.608595978
006_2,s0.933210160,s-1.239636061,s26.974637734
006_3,s0.557915942,s-0.404156167,s47.025561508
006_4,s0.250242586,s-0.690132486,s-156.954701624
006_5,s-0.152492334,s-1.171955169,s-112.812871802
007_0,s1.720459993,s-2.081157180,s166.024279084
007_1,s2.021073797,s-1.247220286,s171.172483905
007_2,s1.155050164,s-2.565424532,s-13.832720181
007_3,s2.024161878,s-2.644626982,s-14.947651508
007_4,s0.871247431,s-1.937230758,s155.879589897
007_5,s1.491941427,s-1.814080962,s-10.680612285
007_6,s1.171511190,s-1.310071451,s127.567609224
008_0,s0.328742566,s-0.430674073,s-2.919145489
008_1,s1.595014639,s0.055885009,s149.663240224
008_2,s1.564993765,s0.306074934,s-29.746342560
008_3,s1.604137091,s1.134566019,s149.795427432
008_4,s0.902291794,s0.657937867,s-30.362601520
008_5,s0.888183264,s-0.421563127,s-30.651907694
008_6,s0.938608721,s0.403403465,s149.328671083
008_7,s0.506191727,s0.828573930,s147.006605626
009_0,s0.395820192,s0.236710297,s148.121830525
009_1,s-0.023440963,s-0.913786461,s-104.786103278
009_2,s-0.321593316,s-0.272516122,s-31.897590698
009_3,s-0.280183999,s-0.554562242,s148.370455138
009_4,s0.356907364,s-0.597455084,s-29.796839880
009_5,s-0.926612791,s0.148327852,s-33.709856428
009_6,s-0.192336857,s0.604533841,s146.572417314
009_7,s-0.999713604,s-1.042767343,s-31.897590698
009_8,s-0.828200219,s-0.160058750,s145.955452918
010_0,s0.268311692,s7.993440216,s169.012578454
010_1,s-0.862225271,s8.195245912,s104.319132380
010_2,s-0.379340759,s9.102698883,s92.895621513
010_3,s-1.022960693,s7.720503534,s129.828978881
010_4,s-0.320411364,s8.186725534,s141.918980113
010_5,s0.427467908,s9.244597131,s131.748989080
010_6,s-0.145917510,s8.623472395,s104.864045614
010_7,s0.398171768,s8.640729123,s138.406917006
010_8,s-1.021476338,s8.778165216,s139.832610204
010_9,s-0.142826381,s7.613583333,s108.738341216
011_0,s-0.266653769,s0.791395274,s-146.802123075
011_1,s-0.893131444,s-0.161808893,s23.281600706
011_2,s0.179347251,s-0.717979326,s-129.656418854
011_3,s-0.217202373,s-0.491477289,s-175.014894700
011_4,s0.167546169,s-0.274124890,s36.527624818
011_5,s0.728434180,s-0.361362564,s-155.959030409
011_6,s-0.439370923,s-0.237200264,s-3.660088339
011_7,s-0.812837943,s-0.614650855,s-134.626974356
011_8,s0.369525103,s0.323515464,s-134.491575494
011_9,s0.740406995,s0.786860762,s-162.336459674
011_10,s-0.859416287,s0.766113667,s-162.994542183
012_0,s-3.206630573,s8.579026845,s139.594170510
012_1,s-2.936453436,s8.944602141,s93.076874585
012_2,s-1.705285358,s8.386262920,s138.713398460
012_3,s-2.979355783,s8.009466877,s109.837642522
012_4,s-3.201665855,s9.524146582,s139.202547849
012_5,s-2.178242832,s9.396408473,s92.485370287
012_6,s-1.558546029,s8.832164786,s106.532104334
012_7,s-2.265733084,s8.412810254,s107.712636312
012_8,s-2.443574433,s7.964454596,s138.713398460
012_9,s-2.402491326,s8.992748026,s138.713398460
012_10,s-1.701558614,s7.702945346,s103.824173692
012_11,s-1.635895645,s9.491864368,s138.713398460
013_0,s2.360140755,s-0.532276985,s-125.832172890
013_1,s3.359368742,s1.080491127,s66.872747648
013_2,s3.567088966,s-0.614903777,s-119.832929781
013_3,s3.166317581,s0.613945757,s-119.832929817
013_4,s3.915239723,s1.162381840,s-119.907577469
013_5,s3.631246931,s-0.081087378,s60.147648996
013_6,s3.271897601,s-0.726635810,s60.147648960
013_7,s2.439847118,s1.149815114,s-115.479968050
013_8,s4.410730470,s-0.664505967,s58.669850630
013_9,s2.850916934,s0.470737647,s61.887459510
013_10,s4.006335899,s0.557959804,s60.147648996
013_11,s3.940909923,s0.052868820,s-119.088997871
013_12,s2.796031833,s-0.030371478,s-119.832929781
014_0,s-0.083171507,s-1.008940990,s0.711994407
014_1,s-0.790921455,s-0.209030218,s0.551213379
014_2,s0.354220155,s-0.411428966,s179.927761979
014_3,s0.772898219,s-0.901743899,s0.070762707
014_4,s-1.003883885,s-0.899108944,s15.220313467
014_5,s-1.040203175,s1.075426036,s174.796628845
014_6,s-0.152979638,s1.187236893,s178.399660539
014_7,s0.302230247,s0.590478781,s-0.386082572
014_8,s-0.544259918,s-0.411437339,s179.728078796
014_9,s0.562530647,s0.388311826,s179.927761979
014_10,s-0.602763654,s0.590322787,s-0.205409505
014_11,s-0.335735160,s0.387577224,s179.927761979
014_12,s0.747595144,s1.187943224,s178.869325684
014_13,s0.101893321,s-0.208311817,s0.070762707
015_0,s0.101291457,s-0.206971194,s0.055778073
015_1,s-0.322354644,s0.419152535,s179.922777345
015_2,s0.562632183,s0.388164695,s179.912777345
015_3,s-0.950761617,s-0.995538726,s0.055778073
015_4,s0.747147015,s1.187885648,s-179.733708362
015_5,s0.817088591,s-1.008042532,s0.055778073
015_6,s-0.569904340,s0.622866234,s-0.369486588
015_7,s-0.765358562,s-0.175004562,s2.327725075
015_8,s0.365536406,s-0.411029017,s179.764368625
