n,s_n,term
1,0.813172798,0.661250000000
17,3.032547746,0.540961519350
11,2.437027521,0.539918466993
29,3.928120705,0.532073526768
28,3.857755565,0.531509928606
40,4.603881125,0.529893035398
16,2.911507805,0.529804856320
27,3.777135761,0.528398316801
20,3.233003145,0.522615466815
38,4.452986180,0.521818050476
39,4.508219621,0.521129337283
30,3.953584650,0.521027719610
22,3.378748381,0.518906391894
19,3.137973063,0.518256576107
13,2.593317673,0.517330503924
41,4.598815333,0.515831767402
26,3.656087056,0.514114329257
32,4.053294045,0.513412269142
18,3.034728543,0.511643185148
14,2.675460258,0.511291970681
12,2.473267503,0.509754345267
35,4.205303667,0.505273683817
60,5.502072271,0.504546654525
31,3.953478672,0.504193342181
21,3.253746074,0.504136357960
36,4.244467643,0.500430710361
23,3.386872309,0.498734958217
33,4.054885168,0.498245264478
37,4.292109286,0.497897354787
51,5.037018484,0.497481474594
9,2.115261732,0.497148021737
52,5.083066895,0.496876328059
46,4.774532868,0.495568785042
43,4.611187780,0.494489598659
15,2.716549400,0.491976042990
61,5.477462093,0.491845753744
62,5.519593757,0.491385729790
34,4.086747125,0.491220648994
53,5.085800931,0.488025870058
42,4.525738200,0.487673958376
63,5.536981320,0.486637494298
87,6.504711638,0.486336476919
47,4.774532868,0.485024768339
66,5.656887336,0.484854156535
44,4.613121659,0.483656623666
68,5.718386954,0.480881608216
88,6.501963565,0.480403752326
59,5.321856957,0.480036635095
54,5.085572864,0.478945395460
56,5.175649075,0.478345417008
64,5.530201929,0.477861459053
24,3.384859527,0.477386417397
67,5.655489882,0.477381579148
83,6.289508186,0.476601364132
111,7.270694639,0.476243248093
57,5.208804268,0.475993717514
89,6.505730195,0.475556464884
25,3.446586058,0.475158218255
48,4.774532868,0.474920085665
8,1.948844165,0.474749197200
85,6.351448678,0.474598827110
6,1.687087040,0.474377113469
65,5.548393995,0.473610398775
69,5.713134267,0.473042074648
45,4.610822695,0.472437465049
112,7.270694639,0.471991076235
86,6.365611464,0.471174526799
55,5.088801895,0.470834631391
84,6.288495557,0.470775909216
90,6.508444463,0.470664992523
118,7.450876346,0.470470833190
150,8.395227372,0.469865617488
58,5.213020850,0.468544592718
73,5.847200104,0.468352726834
4,1.368667914,0.468312965039
121,7.526339418,0.468146983701
113,7.270694639,0.467814164056
119,7.460130732,0.467676895316
151,8.402945307,0.467612515459
10,2.161628711,0.467263868621
92,6.555094386,0.467057200120
70,5.713567178,0.466354998591
91,6.508798804,0.465543537037
49,4.774532868,0.465227839019
