id,x,y,deg
200_0,s0.000000000000000,s0.000243659287614,s30.000000000000000
200_1,s0.444835537000000,s0.155884961105249,s-12.829495120000001
200_2,s0.031275096000000,s-0.551879429565367,s-46.709957052999997
200_3,s-0.556860786000000,s-0.422045961716099,s-12.829495120000001
200_4,s0.031275096000000,s0.603982416077329,s-46.709957052999997
200_5,s-0.556860786000000,s0.733815883926597,s-12.829495120000001
200_6,s-0.970421228000000,s0.026051493255981,s-46.709957052999997
200_7,s0.444835537000000,s-0.999976884537446,s-12.829495120000001
200_8,s-1.001696323000000,s-0.577687263533733,s30.000000000000000
200_9,s-1.001696323000000,s0.578174582108962,s30.000000000000000
200_10,s1.001696323000000,s-0.577687263533733,s30.000000000000000
200_11,s1.001696323000000,s0.578174582108962,s30.000000000000000
200_12,s1.032971419000000,s0.026051493255981,s-46.709957052999997
200_13,s-0.970421228000000,s-1.129810352386714,s-46.709957052999997
200_14,s1.032971419000000,s-1.129810352386714,s-46.709957052999997
200_15,s0.000000000000000,s-1.155618186355081,s30.000000000000000
200_16,s0.000000000000000,s1.156105504930310,s30.000000000000000
200_17,s1.032971419000000,s1.181913338898676,s-46.709957052999997
200_18,s-0.970421228000000,s1.181913338898676,s-46.709957052999997
200_19,s0.444835537000000,s1.311746806747944,s-12.829495120000001
200_20,s1.446531861000000,s-0.422045961716099,s-12.829495120000001
200_21,s1.446531861000000,s0.733815883926597,s-12.829495120000001
200_22,s-1.558557109000000,s1.311746806747944,s-12.829495120000001
200_23,s-1.558557109000000,s0.155884961105249,s-12.829495120000001
200_24,s-1.558557109000000,s-0.999976884537446,s-12.829495120000001
200_25,s-0.556860786000000,s-1.577907807358794,s-12.829495120000001
200_26,s1.446531861000000,s-1.577907807358794,s-12.829495120000001
200_27,s0.031275096000000,s-1.707741274208751,s-46.709957052999997
200_28,s-1.001696323000000,s-1.733549109176429,s30.000000000000000
200_29,s-1.001696323000000,s1.734036427751657,s30.000000000000000
200_30,s1.001696323000000,s-1.733549109176429,s30.000000000000000
200_31,s1.001696323000000,s1.734036427751657,s30.000000000000000
200_32,s0.031275096000000,s1.759844261720024,s-46.709957052999997
200_33,s1.446531861000000,s1.889677729569292,s-12.829495120000001
200_34,s-0.556860786000000,s1.889677729569292,s-12.829495120000001
200_35,s-1.972117551000000,s0.603982416077329,s-46.709957052999997
200_36,s-1.972117551000000,s1.759844261720024,s-46.709957052999997
200_37,s-1.972117551000000,s-0.551879429565367,s-46.709957052999997
200_38,s-1.972117551000000,s-1.707741274208751,s-46.709957052999997
200_39,s-2.003392647000000,s0.000243659287614,s30.000000000000000
200_40,s2.003392647000000,s0.000243659287614,s30.000000000000000
200_41,s-2.003392647000000,s-1.155618186355081,s30.000000000000000
200_42,s-2.003392647000000,s1.156105504930310,s30.000000000000000
200_43,s2.003392647000000,s-1.155618186355081,s30.000000000000000
200_44,s2.003392647000000,s1.156105504930310,s30.000000000000000
200_45,s2.034667742000000,s-1.707741274208751,s-46.709957052999997
200_46,s2.034667742000000,s-0.551879429565367,s-46.709957052999997
200_47,s2.034667742000000,s0.603982416077329,s-46.709957052999997
200_48,s2.034667742000000,s1.759844261720024,s-46.709957052999997
200_49,s-1.558557109000000,s-2.155838730180141,s-12.829495120000001
200_50,s0.444835537000000,s-2.155838730180141,s-12.829495120000001
200_51,s-0.970421228000000,s-2.285672197030099,s-46.709957052999997
200_52,s1.032971419000000,s-2.285672197030099,s-46.709957052999997
200_53,s0.000000000000000,s-2.311480031997776,s30.000000000000000
200_54,s0.000000000000000,s2.311967350573005,s30.000000000000000
200_55,s-2.003392647000000,s2.311967350573005,s30.000000000000000
200_56,s2.003392647000000,s-2.311480031997776,s30.000000000000000
200_57,s-2.003392647000000,s-2.311480031997776,s30.000000000000000
200_58,s2.003392647000000,s2.311967350573005,s30.000000000000000
200_59,s-0.970421228000000,s2.337775184541371,s-46.709957052999997
200_60,s1.032971419000000,s2.337775184541371,s-46.709957052999997
200_61,s2.448228184000000,s-0.999976884537446,s-12.829495120000001
200_62,s2.448228184000000,s-2.155838730180141,s-12.829495120000001
200_63,s2.448228184000000,s0.155884961105249,s-12.829495120000001
200_64,s2.448228184000000,s1.311746806747944,s-12.829495120000001
200_65,s0.444835537000000,s2.467608652390640,s-12.829495120000001
200_66,s2.448228184000000,s2.467608652390640,s-12.829495120000001
200_67,s-1.558557109000000,s2.467608652390640,s-12.829495120000001
200_68,s-2.560253432000000,s1.889677729569292,s-12.829495120000001
200_69,s-2.560253432000000,s-0.422045961716099,s-12.829495120000001
200_70,s-2.560253432000000,s0.733815883926597,s-12.829495120000001
200_71,s-2.560253432000000,s-1.577907807358794,s-12.829495120000001
200_72,s-0.556860786000000,s-2.733769653001489,s-12.829495120000001
200_73,s-2.560253432000000,s-2.733769653001489,s-12.829495120000001
200_74,s1.446531861000000,s-2.733769653001489,s-12.829495120000001
200_75,s-1.972117551000000,s-2.863603119851447,s-46.709957052999997
200_76,s0.031275096000000,s-2.863603119851447,s-46.709957052999997
200_77,s2.034667742000000,s-2.863603119851447,s-46.709957052999997
200_78,s-1.001696323000000,s-2.889410954819124,s30.000000000000000
200_79,s-1.001696323000000,s2.889898273394352,s30.000000000000000
200_80,s1.001696323000000,s-2.889410954819124,s30.000000000000000
200_81,s1.001696323000000,s2.889898273394352,s30.000000000000000
200_82,s2.034667742000000,s2.915706107362719,s-46.709957052999997
200_83,s0.031275096000000,s2.915706107362719,s-46.709957052999997
200_84,s-1.972117551000000,s2.915706107362719,s-46.709957052999997
200_85,s-2.973813874000000,s1.181913338898676,s-46.709957052999997
200_86,s-2.973813874000000,s2.337775184541371,s-46.709957052999997
200_87,s-2.973813874000000,s0.026051493255981,s-46.709957052999997
200_88,s-2.973813874000000,s-1.129810352386714,s-46.709957052999997
200_89,s-2.973813874000000,s-2.285672197030099,s-46.709957052999997
200_90,s-3.005088970000000,s0.578174582108962,s30.000000000000000
200_91,s3.005088970000000,s-0.577687263533733,s30.000000000000000
200_92,s-3.005088970000000,s1.734036427751657,s30.000000000000000
200_93,s3.005088970000000,s-1.733549109176429,s30.000000000000000
200_94,s-3.005088970000000,s2.889898273394352,s30.000000000000000
200_95,s3.005088970000000,s-2.889410954819124,s30.000000000000000
200_96,s-3.005088970000000,s-0.577687263533733,s30.000000000000000
200_97,s3.005088970000000,s0.578174582108962,s30.000000000000000
200_98,s-3.005088970000000,s-1.733549109176429,s30.000000000000000
200_99,s3.005088970000000,s1.734036427751657,s30.000000000000000
200_100,s-3.005088970000000,s-2.889410954819124,s30.000000000000000
200_101,s3.005088970000000,s2.889898273394352,s30.000000000000000
200_102,s3.036364066000000,s-1.129810352386714,s-46.709957052999997
200_103,s3.036364066000000,s-2.285672197030099,s-46.709957052999997
200_104,s3.036364066000000,s0.026051493255981,s-46.709957052999997
200_105,s3.036364066000000,s1.181913338898676,s-46.709957052999997
200_106,s3.036364066000000,s2.337775184541371,s-46.709957052999997
200_107,s1.446531861000000,s3.045539575211987,s-12.829495120000001
200_108,s-0.556860786000000,s3.045539575211987,s-12.829495120000001
200_109,s-2.560253432000000,s3.045539575211987,s-12.829495120000001
200_110,s-1.558557109000000,s-3.311700574823526,s-12.829495120000001
200_111,s0.444835537000000,s-3.311700574823526,s-12.829495120000001
200_112,s2.448228184000000,s-3.311700574823526,s-12.829495120000001
200_113,s-0.970421228000000,s-3.441534042672795,s-46.709957052999997
200_114,s1.032971419000000,s-3.441534042672795,s-46.709957052999997
200_115,s-2.973813874000000,s-3.441534042672795,s-46.709957052999997
200_116,s3.036364066000000,s-3.441534042672795,s-46.709957052999997
200_117,s3.449924507000000,s-0.422045961716099,s-12.829495120000001
200_118,s3.449924507000000,s-1.577907807358794,s-12.829495120000001
200_119,s3.449924507000000,s-2.733769653001489,s-12.829495120000001
200_120,s3.449924507000000,s0.733815883926597,s-12.829495120000001
200_121,s3.449924507000000,s1.889677729569292,s-12.829495120000001
200_122,s3.449924507000000,s3.045539575211987,s-12.829495120000001
200_123,s0.000000000000000,s-3.467341876641161,s30.000000000000000
200_124,s0.000000000000000,s3.467829195216389,s30.000000000000000
200_125,s-2.003392647000000,s-3.467341876641161,s30.000000000000000
200_126,s-2.003392647000000,s3.467829195216389,s30.000000000000000
200_127,s2.003392647000000,s-3.467341876641161,s30.000000000000000
200_128,s2.003392647000000,s3.467829195216389,s30.000000000000000
200_129,s3.036364066000000,s3.493637030184067,s-46.709957052999997
200_130,s-0.970421228000000,s3.493637030184067,s-46.709957052999997
200_131,s1.032971419000000,s3.493637030184067,s-46.709957052999997
200_132,s-2.973813874000000,s3.493637030184067,s-46.709957052999997
200_133,s-3.561949756000000,s1.311746806747944,s-12.829495120000001
200_134,s-3.561949756000000,s2.467608652390640,s-12.829495120000001
200_135,s-3.561949756000000,s0.155884961105249,s-12.829495120000001
200_136,s-3.561949756000000,s-0.999976884537446,s-12.829495120000001
200_137,s-3.561949756000000,s-2.155838730180141,s-12.829495120000001
200_138,s-3.561949756000000,s-3.311700574823526,s-12.829495120000001
200_139,s0.444835537000000,s3.623470498033335,s-12.829495120000001
200_140,s2.448228184000000,s3.623470498033335,s-12.829495120000001
200_141,s-1.558557109000000,s3.623470498033335,s-12.829495120000001
200_142,s-3.561949756000000,s3.623470498033335,s-12.829495120000001
200_143,s-0.556860786000000,s-3.889631497644873,s-12.829495120000001
200_144,s-2.560253432000000,s-3.889631497644873,s-12.829495120000001
200_145,s1.446531861000000,s-3.889631497644873,s-12.829495120000001
200_146,s3.449924507000000,s-3.889631497644873,s-12.829495120000001
200_147,s-3.975510198000000,s0.603982416077329,s-46.709957052999997
200_148,s-3.975510198000000,s1.759844261720024,s-46.709957052999997
200_149,s-3.975510198000000,s2.915706107362719,s-46.709957052999997
200_150,s-3.975510198000000,s-0.551879429565367,s-46.709957052999997
200_151,s-3.975510198000000,s-1.707741274208751,s-46.709957052999997
200_152,s-3.975510198000000,s-2.863603119851447,s-46.709957052999997
200_153,s-4.006785293000000,s3.467829195216389,s30.000000000000000
200_154,s4.006785293000000,s-3.467341876641161,s30.000000000000000
200_155,s-4.006785293000000,s0.000243659287614,s30.000000000000000
200_156,s4.006785293000000,s0.000243659287614,s30.000000000000000
200_157,s-4.006785293000000,s-1.155618186355081,s30.000000000000000
200_158,s-4.006785293000000,s1.156105504930310,s30.000000000000000
200_159,s4.006785293000000,s-1.155618186355081,s30.000000000000000
200_160,s4.006785293000000,s1.156105504930310,s30.000000000000000
200_161,s-4.006785293000000,s-2.311480031997776,s30.000000000000000
200_162,s-4.006785293000000,s2.311967350573005,s30.000000000000000
200_163,s4.006785293000000,s-2.311480031997776,s30.000000000000000
200_164,s4.006785293000000,s2.311967350573005,s30.000000000000000
200_165,s-4.006785293000000,s-3.467341876641161,s30.000000000000000
200_166,s4.006785293000000,s3.467829195216389,s30.000000000000000
200_167,s-3.975510198000000,s-4.019464965494141,s-46.709957052999997
200_168,s0.031275096000000,s-4.019464965494141,s-46.709957052999997
200_169,s-1.972117551000000,s-4.019464965494141,s-46.709957052999997
200_170,s2.034667742000000,s-4.019464965494141,s-46.709957052999997
200_171,s4.038060389000000,s-2.863603119851447,s-46.709957052999997
200_172,s4.038060389000000,s-4.019464965494141,s-46.709957052999997
200_173,s4.038060389000000,s-0.551879429565367,s-46.709957052999997
200_174,s4.038060389000000,s0.603982416077329,s-46.709957052999997
200_175,s4.038060389000000,s-1.707741274208751,s-46.709957052999997
200_176,s4.038060389000000,s1.759844261720024,s-46.709957052999997
200_177,s4.038060389000000,s2.915706107362719,s-46.709957052999997
200_178,s-1.001696323000000,s-4.045272799462509,s30.000000000000000
200_179,s1.001696323000000,s4.045760118037737,s30.000000000000000
200_180,s-3.005088970000000,s-4.045272799462509,s30.000000000000000
200_181,s3.005088970000000,s4.045760118037737,s30.000000000000000
200_182,s-1.001696323000000,s4.045760118037737,s30.000000000000000
200_183,s1.001696323000000,s-4.045272799462509,s30.000000000000000
200_184,s-3.005088970000000,s4.045760118037737,s30.000000000000000
200_185,s3.005088970000000,s-4.045272799462509,s30.000000000000000
200_186,s0.031275096000000,s4.071567953005415,s-46.709957052999997
200_187,s2.034667742000000,s4.071567953005415,s-46.709957052999997
200_188,s4.038060389000000,s4.071567953005415,s-46.709957052999997
200_189,s-1.972117551000000,s4.071567953005415,s-46.709957052999997
200_190,s-3.975510198000000,s4.071567953005415,s-46.709957052999997
200_191,s-0.556860786000000,s4.201401419855372,s-12.829495120000001
200_192,s1.446531861000000,s4.201401419855372,s-12.829495120000001
200_193,s-2.560253432000000,s4.201401419855372,s-12.829495120000001
200_194,s3.449924507000000,s4.201401419855372,s-12.829495120000001
200_195,s4.451620831000000,s-2.155838730180141,s-12.829495120000001
200_196,s4.451620831000000,s-3.311700574823526,s-12.829495120000001
200_197,s4.451620831000000,s0.155884961105249,s-12.829495120000001
200_198,s4.451620831000000,s-0.999976884537446,s-12.829495120000001
200_199,s4.451620831000000,s1.311746806747944,s-12.829495120000001
