id,x,y,deg
020_0,s1.943333426449374,s-1.996963249681785,s21.766772080620271
020_1,s2.405705997836675,s-2.078842528591873,s-1.319886543409766
020_2,s2.170113867160981,s-2.529260605943602,s-77.413050890210087
020_3,s2.882513582588202,s-2.079609824652584,s-37.908557512371573
020_4,s1.962083271701131,s-3.098556748393794,s13.149911265126065
020_5,s4.375920949535399,s-2.360934266958994,s-163.714444776937171
020_6,s2.453990319279605,s-3.118679233153466,s-44.706822278018194
020_7,s3.301228834446266,s-2.501363437764985,s-78.758633689531791
020_8,s3.416936271760809,s-3.104572185446396,s-51.168106006737446
020_9,s2.789701846607451,s-3.451194544383402,s-85.210614306913925
020_10,s3.511880142610600,s-2.048904511323416,s-1.239676224048893
020_11,s2.731189797601202,s-1.500716772216013,s-71.735158376977154
020_12,s3.394890838701361,s-4.004189420253705,s-112.228799210134099
020_13,s4.120009961885772,s-2.159453103156486,s20.964780738742235
020_14,s2.106753512065845,s-3.935632175175685,s26.495128920240752
020_15,s4.019704268519328,s-3.167506144793720,s-112.687728515529244
020_16,s4.312008031661063,s-4.125080096105932,s-35.447294285200087
020_17,s2.853697239707333,s-4.053676018102102,s-45.445810765734819
020_18,s3.790551016515646,s-3.761707993649977,s-73.137982714038827
020_19,s4.332542421371988,s-1.496946061634420,s69.906972551940214
