id,x,y,deg
030_0,s-0.676151794457940,s0.313613986729050,s-63.939405764525425
030_1,s-0.778787405424725,s-0.211918181231757,s32.270770126493339
030_2,s-0.013317799126103,s-0.050592526387703,s-147.951976587379619
030_3,s1.036044113993470,s-2.441471721349714,s-151.187731434305817
030_4,s0.669850503445920,s-1.993704214169327,s173.400135020424074
030_5,s1.192086227134397,s-2.093851262200528,s-49.761836494228888
030_6,s0.127908183178453,s0.334301430643385,s-102.421296151784446
030_7,s-0.211073390477423,s-2.022918863981980,s-126.042560556368102
030_8,s0.632833815424244,s-0.475861517376742,s-85.261579654585944
030_9,s0.776361565366635,s-1.086820922822035,s-43.658880730000668
030_10,s-1.513785492453974,s-0.900167219253088,s33.553369734341253
030_11,s-1.924584931765128,s0.419583265000733,s157.166060316499397
030_12,s-1.979216846014255,s-2.820515142204430,s-124.273419352470938
030_13,s1.119059128299371,s0.471771756769064,s172.402915494593145
030_14,s0.537477553622374,s-2.889264674241285,s-119.010156898598240
030_15,s-1.045007686781757,s-0.563904638408607,s-130.360443731907935
030_16,s-0.687665356776560,s-2.501910735249289,s-154.762493208988815
030_17,s-1.626332331509904,s-1.330863252786274,s129.111962007353071
030_18,s-1.407607208797491,s-1.840423851786764,s-135.475056024317581
030_19,s-1.047696127909884,s-1.157069502179953,s-155.775212256512646
030_20,s1.445740553641873,s-0.838935768415903,s-158.356613767861205
030_21,s0.731579196080167,s-1.589386261849169,s-69.607912206930521
030_22,s0.128021803792600,s-1.186435340823757,s-158.807915989007114
030_23,s1.470986635178108,s-0.206327960240706,s-13.179604202456018
030_24,s-1.644608661641305,s0.000111076350614,s-149.870014423556853
030_25,s-0.290372097170585,s-0.746410044747541,s-94.416130277843038
030_26,s-0.556492405385128,s-1.237368152505348,s-129.336943060455894
030_27,s-1.476286176125449,s-2.412947701737951,s-146.269209439153315
030_28,s-0.123998033601638,s-2.632113417929452,s-144.311907778565029
030_29,s-1.854342924758371,s-1.891402401875336,s176.418242283543009
