id,x,y,deg
060_0,s0.000000000000000,s0.000000000000000,s26.020000000000000
060_1,s0.215281779000000,s0.405538029000000,s-20.873729125000001
060_2,s0.149486269000000,s-0.540125189000000,s-20.873729125000001
060_3,s0.851866124000000,s0.415851026000000,s26.020000000000000
060_4,s0.786070615000000,s-0.529812191000000,s26.020000000000000
060_5,s0.065795510000000,s0.945663218000000,s26.020000000000000
060_6,s1.001352394000000,s-0.124274162000000,s-20.873729125000001
060_7,s1.067147903000000,s0.821389055000000,s-20.873729125000001
060_8,s0.281077287000000,s1.351201247000000,s-20.873729125000001
060_9,s0.917661633000000,s1.361514244000000,s26.020000000000000
060_10,s1.637936740000000,s-0.113961165000000,s26.020000000000000
060_11,s1.703732249000000,s0.831702053000000,s26.020000000000000
060_12,s1.853218517000000,s0.291576864000000,s-20.873729125000001
060_13,s1.787423009000000,s-0.654086354000000,s-20.873729125000001
060_14,s1.919014027000000,s1.237240082000000,s-20.873729125000001
060_15,s1.132943412000000,s1.767052273000000,s-20.873729125000001
060_16,s1.769527758000000,s1.777365270000000,s26.020000000000000
060_17,s0.131591018000000,s1.891326435000000,s26.020000000000000
060_18,s1.984809536000000,s2.182903299000000,s-20.873729125000001
060_19,s0.346872797000000,s2.296864464000000,s-20.873729125000001
060_20,s0.983457143000000,s2.307177462000000,s26.020000000000000
060_21,s2.424007355000000,s-0.643773356000000,s26.020000000000000
060_22,s2.489802863000000,s0.301889861000000,s26.020000000000000
060_23,s2.555598373000000,s1.247553079000000,s26.020000000000000
060_24,s2.621393881000000,s2.193216297000000,s26.020000000000000
060_25,s2.639289133000000,s-0.238235327000000,s-20.873729125000001
060_26,s2.705084643000000,s0.707427890000000,s-20.873729125000001
060_27,s2.770880151000000,s1.653091108000000,s-20.873729125000001
060_28,s2.836675661000000,s2.598754326000000,s-20.873729125000001
060_29,s-0.439197818000000,s2.826676656000000,s-20.873729125000001
060_30,s1.198738921000000,s2.712715491000000,s-20.873729125000001
060_31,s1.835323267000000,s2.723028487000000,s26.020000000000000
060_32,s0.197386528000000,s2.836989652000000,s26.020000000000000
060_33,s2.050605045000000,s3.128566517000000,s-20.873729125000001
060_34,s0.412668305000000,s3.242527682000000,s-20.873729125000001
060_35,s3.275873479000000,s-0.227922330000000,s26.020000000000000
060_36,s3.341668988000000,s0.717740888000000,s26.020000000000000
060_37,s3.407464497000000,s1.663404105000000,s26.020000000000000
060_38,s3.473260007000000,s2.609067322000000,s26.020000000000000
060_39,s1.049252651000000,s3.252840679000000,s26.020000000000000
060_40,s2.687189391000000,s3.138879514000000,s26.020000000000000
060_41,s3.491155257000000,s0.177615699000000,s-20.873729125000001
060_42,s3.425359748000000,s-0.768047519000000,s-20.873729125000001
060_43,s3.556950766000000,s1.123278917000000,s-20.873729125000001
060_44,s3.622746276000000,s2.068942134000000,s-20.873729125000001
060_45,s3.688541785000000,s3.014605352000000,s-20.873729125000001
060_46,s-0.373402309000000,s3.772339872000000,s-20.873729125000001
060_47,s1.264534431000000,s3.658378708000000,s-20.873729125000001
060_48,s2.902471171000000,s3.544417543000000,s-20.873729125000001
060_49,s3.539055516000000,s3.554730540000000,s26.020000000000000
060_50,s0.263182037000000,s3.782652870000000,s26.020000000000000
060_51,s1.901118776000000,s3.668691705000000,s26.020000000000000
060_52,s4.061944093000000,s-0.757734521000000,s26.020000000000000
060_53,s4.127739603000000,s0.187928696000000,s26.020000000000000
060_54,s4.193535112000000,s1.133591914000000,s26.020000000000000
060_55,s4.259330621000000,s2.079255132000000,s26.020000000000000
060_56,s4.325126131000000,s3.024918348000000,s26.020000000000000
060_57,s4.277225873000000,s-0.352196493000000,s-20.873729125000001
060_58,s4.343021382000000,s0.593466725000000,s-20.873729125000001
060_59,s4.408816891000000,s1.539129943000000,s-20.873729125000001
