id,x,y,deg
001_0,s0.000000000,s0.000000000,s-45.000000000
002_0,s0.000000000,s0.000000000,s117.459377731
002_1,s-0.427407107,s-0.669846273,s117.459377731
003_0,s0.000000000,s0.000000000,s-45.000000000
003_1,s-0.205654634,s-0.767513541,s-45.000000000
003_2,s0.561858908,s-0.561858907,s-45.000000000
004_0,s0.000000000,s0.000000000,s113.629377731
004_1,s-0.471195827,s-0.639801028,s113.629377731
004_2,s0.471195827,s0.639801028,s113.629377731
004_3,s0.318486031,s-0.727968070,s113.629377731
005_0,s0.000000000,s0.000000000,s30.000000000
005_1,s-0.688133815,s0.397294244,s30.000000000
005_2,s0.688133815,s-0.397294244,s30.000000000
005_3,s-0.688133815,s-0.397294244,s30.000000000
005_4,s0.688133815,s0.397294244,s30.000000000
