id,x,y,deg
001_0,s0.000000000,s0.000000000,s-45.000000000
002_0,s0.000000000,s0.000000000,s116.279377731
002_1,s-0.396222381,s-0.658031483,s116.279377731
003_0,s0.000000000,s0.000000000,s110.459377731
003_1,s-0.460906744,s-0.614461213,s110.459377731
003_2,s0.460906744,s0.614461213,s110.459377731
004_0,s0.000000000,s0.000000000,s-0.000000011
004_1,s-0.414594333,s0.646613600,s-0.000000011
004_2,s0.414594333,s-0.646613600,s-0.000000011
004_3,s-1.175536634,s-0.646613600,s-0.000000011
005_0,s0.000000000,s0.000000000,s-41.830000000
005_1,s0.122315902,s0.758311564,s-41.830000000
005_2,s-0.122315902,s-0.758311564,s-41.830000000
005_3,s-1.307165264,s0.302182888,s-41.830000000
005_4,s-1.429481166,s-0.456128676,s-41.830000000
006_0,s0.000000000,s0.000000000,s30.000000000
006_1,s-0.682356025,s0.352686637,s30.000000000
006_2,s0.682356025,s-0.352686637,s30.000000000
006_3,s-0.694737788,s-1.147752121,s30.000000000
006_4,s1.364712050,s-0.705373274,s30.000000000
006_5,s-0.012381763,s-1.500438758,s30.000000000
007_0,s0.000000000,s0.000000000,s110.879377731
007_1,s-0.456390165,s-0.617823296,s110.879377731
007_2,s0.456390165,s0.617823296,s110.879377731
007_3,s1.023115596,s-0.867888244,s110.879377731
007_4,s0.912780331,s1.235646593,s110.879377731
007_5,s-0.566725430,s1.485711540,s110.879377731
007_6,s1.479505761,s-0.250064947,s110.879377731
008_0,s0.000000000,s0.000000000,s100.123178183
008_1,s-0.563676057,s-0.521792020,s100.123178183
008_2,s0.563676057,s0.521792020,s100.123178183
008_3,s0.843165392,s-1.043584039,s100.123178183
008_4,s-0.843165392,s1.043584039,s100.123178183
008_5,s-1.127352114,s-1.043584039,s100.123178183
008_6,s1.127352114,s1.043584039,s100.123178183
008_7,s0.279489335,s-1.565376059,s100.123178183
009_0,s0.000000000,s0.000000000,s-59.527200523
009_1,s0.347043954,s0.685243097,s-59.527200523
009_2,s-0.347043954,s-0.685243097,s-59.527200523
009_3,s-1.153445891,s0.685243097,s-59.527200523
009_4,s1.153445891,s-0.685243097,s-59.527200523
009_5,s0.694087908,s1.370486195,s-59.527200523
009_6,s-0.694087908,s-1.370486195,s-59.527200523
009_7,s-0.806401936,s1.370486195,s-59.527200523
009_8,s0.806401936,s-1.370486195,s-59.527200523
010_0,s0.000000000,s0.000000000,s25.990000000
010_1,s-0.656021941,s0.399540764,s25.990000000
010_2,s0.656021941,s-0.399540764,s25.990000000
010_3,s-0.773299945,s-1.096358847,s25.990000000
010_4,s0.773299945,s1.096358847,s25.990000000
010_5,s-1.312043882,s0.799081527,s25.990000000
010_6,s1.312043882,s-0.799081527,s25.990000000
010_7,s-1.429321886,s-0.696818083,s25.990000000
010_8,s1.429321886,s0.696818083,s25.990000000
010_9,s-0.117278004,s-1.495899610,s25.990000000
011_0,s0.000000000,s0.000000000,s-47.700000000
011_1,s0.199228350,s0.741825905,s-47.700000000
011_2,s-0.199228350,s-0.741825905,s-47.700000000
011_3,s-1.269406390,s0.434284403,s-47.700000000
011_4,s1.269406390,s-0.434284403,s-47.700000000
011_5,s0.398456701,s1.483651810,s-47.700000000
011_6,s-0.398456701,s-1.483651810,s-47.700000000
011_7,s-1.070178039,s1.176110308,s-47.700000000
011_8,s1.070178039,s-1.176110308,s-47.700000000
011_9,s-1.468634740,s-0.307541501,s-47.700000000
011_10,s1.468634740,s0.307541501,s-47.700000000
012_0,s0.000000000,s0.000000000,s25.456361458
012_1,s-0.652272319,s0.405633370,s25.456361458
012_2,s0.652272319,s-0.405633370,s25.456361458
012_3,s-0.783477469,s-1.089109077,s25.456361458
012_4,s-1.304544637,s0.811266741,s25.456361458
012_5,s1.304544637,s-0.811266741,s25.456361458
012_6,s-1.435749788,s-0.683475706,s25.456361458
012_7,s1.435749788,s0.683475706,s25.456361458
012_8,s-0.131205150,s-1.494742447,s25.456361458
012_9,s0.521067168,s-1.900375817,s25.456361458
012_10,s1.956816956,s-1.216900111,s25.456361458
012_11,s1.173339487,s-2.306009188,s25.456361458
013_0,s0.000000000,s0.000000000,s-59.527200523
013_1,s0.347043954,s0.685243097,s-59.527200523
013_2,s-0.347043954,s-0.685243097,s-59.527200523
